row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềmmáy vi tínhTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềmmáy vi tínhTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,69.147,393.055,462.202,69147.0,393055.0,462202.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,16.132,16.132,,16132.0,16132.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,64.279,64.279,,64279.0,64279.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,69.147,473.466,542.613,69147.0,473466.0,542613.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,868,199.419,200.287,868.0,199419.0,200287.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,68.663,68.663,,68663.0,68663.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,868,268.082,268.950,868.0,268082.0,268950.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,68.279,193.636,261.915,68279.0,193636.0,261915.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,68.279,205.384,273.663,68279.0,205384.0,273663.0
