row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2018,Có tài sảnbảo đảmTriệu VND,Không có tàisản bảo đảmTriệu VND,TổngTriệu VND,numeric__Có tài sảnbảo đảmTriệu VND,numeric__Không có tàisản bảo đảmTriệu VND,numeric__TổngTriệu VND
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,,
Tiền gửi tại NHNNVN,Các khoản cho vay và phải thu > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,1.852.903,1.852.903,,1852903.0,1852903.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp (i),Các khoản cho vay và phải thu > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp (i),Tiền gửi và cho vay các tổ chức tín dụng khác – gộp (i),-,5.399.327,5.399.327,,5399327.0,5399327.0
Cho vay khách hàng – gộp (ii),Các khoản cho vay và phải thu > Cho vay khách hàng – gộp (ii),Cho vay khách hàng – gộp (ii),28.558.514,346.048,28.904.562,28558514.0,346048.0,28904562.0
"Các khoản lãi, phí phải thu","Các khoản cho vay và phải thu > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",-,1.561.344,1.561.344,,1561344.0,1561344.0
Các tài sản tài chính khác – gộp,Các khoản cho vay và phải thu > Các tài sản tài chính khác – gộp,Các tài sản tài chính khác – gộp,-,201.462,201.462,,201462.0,201462.0
,,,28.558.514,9.361.084,37.919.598,28558514.0,9361084.0,37919598.0
Các khoản đầu tư giữ đến ngày đáo hạn,Các khoản đầu tư giữ đến ngày đáo hạn,Các khoản đầu tư giữ đến ngày đáo hạn,,,,,,
Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp (iii),Các khoản đầu tư giữ đến ngày đáo hạn > Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp (iii),Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp (iii),-,1.401.464,1.401.464,,1401464.0,1401464.0
Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,,,,,,
Cam kết trong nghiệp vụ L/C – gộp,Các cam kết ngoại bảng > Cam kết trong nghiệp vụ L/C – gộp,Cam kết trong nghiệp vụ L/C – gộp,51.949,-,51.949,51949.0,,51949.0
Cam kết khác – gộp,Các cam kết ngoại bảng > Cam kết khác – gộp,Cam kết khác – gộp,-,112.633,112.633,,112633.0,112633.0
,,,51.949,112.633,164.582,51949.0,112633.0,164582.0
,,,28.610.463,10.875.181,39.485.644,28610463.0,10875181.0,39485644.0
