row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Quá hạnTriệu VND,Không chịu lãiTriệu VND,Dưới 1 thángTriệu VND,Từ trên 1 đến 3 thángTriệu VND,Từ trên 3 đến 6 thángTriệu VND,Từ trên 6 đến 12 thángTriệu VND,Từ trên 1 đến 5 nămTriệu VND,Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạnTriệu VND,numeric__Không chịu lãiTriệu VND,numeric__Dưới 1 thángTriệu VND,numeric__Từ trên 1 đến 3 thángTriệu VND,numeric__Từ trên 3 đến 6 thángTriệu VND,numeric__Từ trên 6 đến 12 thángTriệu VND,numeric__Từ trên 1 đến 5 nămTriệu VND,numeric__Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,433.191,-,-,-,-,-,-,433.191,,433191.0,,,,,,,433191.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,532.201,1.719.381,-,-,-,-,-,2.251.582,,532201.0,1719381.0,,,,,,2251582.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,2.663.859,1.500.000,-,-,-,-,4.163.859,,,2663859.0,1500000.0,,,,,4163859.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,319.118,-,3.183.636,2.254.348,3.105.349,15.823.052,-,-,24.685.503,319118.0,,3183636.0,2254348.0,3105349.0,15823052.0,,,24685503.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,892.559,-,-,-,-,1.418.712,-,2.311.271,,892559.0,,,,,1418712.0,,2311271.0
"Gớp vốn, đầu tư dài hạn","Tài sản > Gớp vốn, đầu tư dài hạn","Gớp vốn, đầu tư dài hạn",-,14.521,-,-,-,-,-,-,14.521,,14521.0,,,,,,,14521.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.401.126,-,-,-,-,-,-,1.401.126,,1401126.0,,,,,,,1401126.0
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,143.009,-,-,-,-,-,-,143.009,,143009.0,,,,,,,143009.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,-,2.301.289,-,-,-,-,-,-,2.301.289,,2301289.0,,,,,,,2301289.0
,,,319.118,5.717.896,7.566.876,3.754.348,3.105.349,15.823.052,1.418.712,-,37.705.351,319118.0,5717896.0,7566876.0,3754348.0,3105349.0,15823052.0,1418712.0,,37705351.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,3.001.467,3.454.969,8.765,562.837,-,-,7.028.038,,,3001467.0,3454969.0,8765.0,562837.0,,,7028038.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,7.441.427,5.510.347,6.514.671,5.935.527,722.220,-,26.124.192,,,7441427.0,5510347.0,6514671.0,5935527.0,722220.0,,26124192.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,622.978,-,-,-,-,-,-,622.978,,622978.0,,,,,,,622978.0
,,,-,622.978,10.442.894,8.965.316,6.523.436,6.498.364,722.220,-,33.775.208,,622978.0,10442894.0,8965316.0,6523436.0,6498364.0,722220.0,,33775208.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,319.118,5.094.918,(2.876.018),(5.210.968),(3.418.087),9.324.688,696.492,-,3.930.143,319118.0,5094918.0,-2876018.0,-5210968.0,-3418087.0,9324688.0,696492.0,,3930143.0
