row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Tên viết tắt,numeric__Mối quan hệ,numeric__Tên viết tắt
Công ty Cổ phần Hải Phát Retail,Công ty Cổ phần Hải Phát Retail,Công ty Cổ phần Hải Phát Retail,Công ty con gián tiếp,Công ty Hải Phát Retail,,
Công ty Cổ phần Dịch vụ Đô thị PSP,Công ty Cổ phần Dịch vụ Đô thị PSP,Công ty Cổ phần Dịch vụ Đô thị PSP,Công ty liên quan tới người có liên quan của người nội bộ,Công ty PSP,,
Công ty TNHH MTV Địa ốc Heritage Việt Nam,Công ty TNHH MTV Địa ốc Heritage Việt Nam,Công ty TNHH MTV Địa ốc Heritage Việt Nam,Công ty con,Công ty Heritage,,
Công ty TNHH Một thành viên Đầu tư và phát triển TOPAZ PM Việt Nam,Công ty TNHH Một thành viên Đầu tư và phát triển TOPAZ PM Việt Nam,Công ty TNHH Một thành viên Đầu tư và phát triển TOPAZ PM Việt Nam,Công ty con,Công ty Topaz,,
Công ty TNHH Một thành Viên DIAMOND IC,Công ty TNHH Một thành Viên DIAMOND IC,Công ty TNHH Một thành Viên DIAMOND IC,Công ty con,Công ty Diamond IC,,
Công ty TNHH HP Hospitality Nha Trang,Công ty TNHH HP Hospitality Nha Trang,Công ty TNHH HP Hospitality Nha Trang,Công ty có chung thành viên HĐQT,Công ty HPH Nha Trang,,
Công ty TNHH MTV Đầu tư và Phát triển Địa ốc Ruby,Công ty TNHH MTV Đầu tư và Phát triển Địa ốc Ruby,Công ty TNHH MTV Đầu tư và Phát triển Địa ốc Ruby,Công ty con,Công ty Ruby,,
Công ty TNHH MTV Hải Phát – Bình Thuận,Công ty TNHH MTV Hải Phát – Bình Thuận,Công ty TNHH MTV Hải Phát – Bình Thuận,Công ty con,Công ty Hải Phát Bình Thuận,,
Công ty TNHH MTV Đầu tư Sapphire,Công ty TNHH MTV Đầu tư Sapphire,Công ty TNHH MTV Đầu tư Sapphire,Công ty con,Công ty Sapphire,,
Công ty TNHH Mai Pha Peninsula,Công ty TNHH Mai Pha Peninsula,Công ty TNHH Mai Pha Peninsula,Công ty con,Công ty Mai Pha,,
Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty TNHH BT Hà Đông,Công ty liên danh,Công ty BT Hà Đông,,
Tổng Công ty Xây dựng Công trình giao thông 5 - CTCP,Tổng Công ty Xây dựng Công trình giao thông 5 - CTCP,Tổng Công ty Xây dựng Công trình giao thông 5 - CTCP,Công ty có chung thành viên quản lý chủ chốt,Công ty Cienco 5,,
Công ty Cổ phần Đầu tư Hải Phát Thủ Đô,Công ty Cổ phần Đầu tư Hải Phát Thủ Đô,Công ty Cổ phần Đầu tư Hải Phát Thủ Đô,Công ty cùng thành viên HĐQT,Công ty Hải Phát Thủ Đô,,
Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty Cổ phần Bê tông Xây dựng và Thương mại Phúc Thành,Công ty có liên quan của thành viên quản lý chủ chốt,Công ty Phúc Thành,,
"Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và các cá nhân có liên quan đến các thành viên quản lý chủ chốt","Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và các cá nhân có liên quan đến các thành viên quản lý chủ chốt","Các thành viên Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soát và các cá nhân có liên quan đến các thành viên quản lý chủ chốt",Ảnh hưởng đáng kể,,,
