row_label_raw,row_label_full,col_0,Vốn cố phần VND,Thếng dư vốn cố phần VND,Vốn khác VND,Chênh lệch đánh giá lại tài sản (*) VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Ngườn vốn đầu tư xây dựng cơ bản VND,Lợi ích cả đồng không kiểm soát VND,Tổng vốn chủ sở hữu VND,Ngườn kinh phí và các quỹ khác VND,Tổng cộng VND,numeric__Vốn cố phần VND,numeric__Thếng dư vốn cố phần VND,numeric__Vốn khác VND,numeric__Chênh lệch đánh giá lại tài sản (*) VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Ngườn vốn đầu tư xây dựng cơ bản VND,numeric__Lợi ích cả đồng không kiểm soát VND,numeric__Tổng vốn chủ sở hữu VND,numeric__Ngườn kinh phí và các quỹ khác VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,Số dư tại ngày 1/1/2017,5.000.000.000.000,29.911.650.892,42.248.630.739,(742.835.089.736),457.818.876.459,10.981.645.059,555.190.797.152,553.877.792.360,1.651.984.049.504,7.559.178.352.429,35.292.181.611,7.594.470.534.040,5000000000000.0,29911650892.0,42248630739.0,-742835089736.0,457818876459.0,10981645059.0,555190797152.0,553877792360.0,1651984049504.0,7559178352429.0,35292181611.0,7594470534040.0
Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,-,-,-,-,-,-,-,-,20.893.610.000,20.893.610.000,-,20.893.610.000,,,,,,,,,20893610000.0,20893610000.0,,20893610000.0
Ngườn kinh phí nhân từ Ngân sách Nhà nước,Ngườn kinh phí nhân từ Ngân sách Nhà nước,Ngườn kinh phí nhân từ Ngân sách Nhà nước,-,-,-,-,-,-,385.955.506.114,-,299.218.033.522,685.173.539.636,-,685.173.539.636,,,,,,,385955506114.0,,299218033522.0,685173539636.0,,685173539636.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,(36.643.029.218),-,-,-,-,-,,,,,,,-36643029218.0,,,,,
Phân bờ vào các quỹ,Phân bờ vào các quỹ,Phân bờ vào các quỹ,-,-,-,-,36.643.029.218,-,(53.833.996.112),-,(23.283.314.438),(77.117.310.550),-,(77.117.310.550),,,,,36643029218.0,,-53833996112.0,,-23283314438.0,-77117310550.0,,-77117310550.0
"Phân bờ vào quỹ khên thường, phúc lợi","Phân bờ vào quỹ khên thường, phúc lợi","Phân bờ vào quỹ khên thường, phúc lợi",-,-,-,-,-,-,-,-,-,-,(2.316.322.803),(2.316.322.803),,,,,,,,,,,-2316322803.0,-2316322803.0
Sư dụng các quỹ,Sư dụng các quỹ,Sư dụng các quỹ,-,-,-,-,-,-,(250.000.000.000),-,(151.406.533.922),(401.406.533.922),-,(401.406.533.922),,,,,,,-250000000000.0,,-151406533922.0,-401406533922.0,,-401406533922.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,-,-,11.155.526.487,11.155.526.487,-,11.155.526.487,,,,,,,,,11155526487.0,11155526487.0,,11155526487.0
Giảm do mất quyền kiểm soát tai các công ty con Thay đổi ty lẻ lợi ích tai các công ty con mà không làm thay đổi quyền kiểm soát với các công ty con này,Giảm do mất quyền kiểm soát tai các công ty con Thay đổi ty lẻ lợi ích tai các công ty con mà không làm thay đổi quyền kiểm soát với các công ty con này,Giảm do mất quyền kiểm soát tai các công ty con Thay đổi ty lẻ lợi ích tai các công ty con mà không làm thay đổi quyền kiểm soát với các công ty con này,-,-,-,-,-,-,(31.976.003.599),-,31.976.003.599,-,-,-,,,,,,,-31976003599.0,,31976003599.0,,,
Các hiến đông khác về vốn chu sở hữu,Các hiến đông khác về vốn chu sở hữu,Các hiến đông khác về vốn chu sở hữu,-,-,-,-,-,-,784.117.372,(3.200.000.128),(6.571.454.940),(8.987.337.696),(553.206.786),(9.540.544.482),,,,,,,784117372.0,-3200000128.0,-6571454940.0,-8987337696.0,-553206786.0,-9540544482.0
Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,Số dư tại ngày 1/1/2018,5.000.000.000.000,29.911.650.892,42.248.630.739,(742.835.089.736),494.461.905.677,10.981.645.059,569.477.391.709,550.677.792.232,1.833.965.919.812,7.788.889.846.384,32.422.652.022,7.821.312.498.406,5000000000000.0,29911650892.0,42248630739.0,-742835089736.0,494461905677.0,10981645059.0,569477391709.0,550677792232.0,1833965919812.0,7788889846384.0,32422652022.0,7821312498406.0
Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,Vốn góp/vốn cổ phần,-,-,-,-,-,-,-,-,14.840.260.000,14.840.260.000,-,14.840.260.000,,,,,,,,,14840260000.0,14840260000.0,,14840260000.0
Ngườn kinh phí nhân từ Ngân sách Nhà nước,Ngườn kinh phí nhân từ Ngân sách Nhà nước,Ngườn kinh phí nhân từ Ngân sách Nhà nước,-,-,-,-,-,-,39.992.602,-,94.652.898,134.645.500,-,134.645.500,,,,,,,39992602.0,,94652898.0,134645500.0,,134645500.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,438.096.563.180,-,264.519.488.598,702.616.051.778,-,702.616.051.778,,,,,,,438096563180.0,,264519488598.0,702616051778.0,,702616051778.0
Phân bờ vào các quỹ,Phân bờ vào các quỹ,Phân bờ vào các quỹ,-,-,-,-,35.402.656.207,-,(35.402.656.207),-,-,-,-,-,,,,,35402656207.0,,-35402656207.0,,,,,
"Phân bờ vào quỹ khên thường, phúc lợi","Phân bờ vào quỹ khên thường, phúc lợi","Phân bờ vào quỹ khên thường, phúc lợi",-,-,-,-,-,-,(67.440.039.224),-,(16.366.009.351),(83.806.048.575),-,(83.806.048.575),,,,,,,-67440039224.0,,-16366009351.0,-83806048575.0,,-83806048575.0
Chênh lệch đánh giá lại tai sản,Chênh lệch đánh giá lại tai sản,Chênh lệch đánh giá lại tai sản,-,-,-,2.472.634.840,-,-,-,-,-,2.472.634.840,-,2.472.634.840,,,,2472634840.0,,,,,,2472634840.0,,2472634840.0
Sư dụng các quỹ,Sư dụng các quỹ,Sư dụng các quỹ,-,-,-,-,(4.009.127.492),-,-,-,(2.249.162.860),(6.258.290.352),(2.041.627.020),(8.299.917.372),,,,,-4009127492.0,,,,-2249162860.0,-6258290352.0,-2041627020.0,-8299917372.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,(250.000.000.000),-,(171.321.716.491),(421.521.716.491),-,(421.521.716.491),,,,,,,-250000000000.0,,-171321716491.0,-421521716491.0,,-421521716491.0
Giảm do thời vốn đầu tư vào các công ty con Thay đổi ty lẻ lợi ích tai các công ty liên kết làm thay đổi ảnh hưởng đáng kể với các công ty liên kết này,Giảm do thời vốn đầu tư vào các công ty con Thay đổi ty lẻ lợi ích tai các công ty liên kết làm thay đổi ảnh hưởng đáng kể với các công ty liên kết này,Giảm do thời vốn đầu tư vào các công ty con Thay đổi ty lẻ lợi ích tai các công ty liên kết làm thay đổi ảnh hưởng đáng kể với các công ty liên kết này,-,-,-,-,-,-,(4.635.975.634),-,(26.296.361.854),(26.296.361.854),-,(26.296.361.854),,,,,,,-4635975634.0,,-26296361854.0,-26296361854.0,,-26296361854.0
Thay đổi ty lẻ lợi ích tai các công ty con mà không làm thay đổi quyền kiểm soát với các công ty con này,Thay đổi ty lẻ lợi ích tai các công ty con mà không làm thay đổi quyền kiểm soát với các công ty con này,Thay đổi ty lẻ lợi ích tai các công ty con mà không làm thay đổi quyền kiểm soát với các công ty con này,-,-,-,-,-,-,(1.243.138.174),-,1.243.138.174,-,-,-,,,,,,,-1243138174.0,,1243138174.0,,,
