row_label_raw,row_label_full,Tên công ty > ▪ Công ty Cổ phần Thương mại Bia Sài Gòn Nam Trung Bộ,"31/12/2020 > % sở hữu và quyền biểu quyết > 90,14%",31/12/2020 > Giá gốc VND > 55.799.775.209,31/12/2020 > Giá trị hợp lý VND > (*),31/12/2020 > Dự phòng VND > -,"1/1/2020 > % sở hữu và quyền biểu quyết > 90,14%",1/1/2020 > Giá gốc VND > 55.799.775.209,1/1/2020 > Giá trị hợp lý VND > (*),1/1/2020 > Dự phòng VND > -,"numeric__31/12/2020 > % sở hữu và quyền biểu quyết > 90,14%",numeric__31/12/2020 > Giá gốc VND > 55.799.775.209,numeric__31/12/2020 > Giá trị hợp lý VND > (*),numeric__31/12/2020 > Dự phòng VND > -,"numeric__1/1/2020 > % sở hữu và quyền biểu quyết > 90,14%",numeric__1/1/2020 > Giá gốc VND > 55.799.775.209,numeric__1/1/2020 > Giá trị hợp lý VND > (*),numeric__1/1/2020 > Dự phòng VND > -
▪ Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,▪ Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,▪ Công ty Cổ phần Thương mại Bia Sài Gòn Miền Đông,"90,68%",36.362.195.948,(*),-,"90,68%",36.362.195.948,(*),-,0.9068,36362195948.0,,,0.9068,36362195948.0,,
▪ Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,▪ Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,▪ Công ty Cổ phần Thương mại Bia Sài Gòn Sông Tiền,90%,36.265.364.767,(*),-,90%,36.265.364.767,(*),-,0.9,36265364767.0,,,0.9,36265364767.0,,
▪ Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,▪ Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,▪ Công ty Cổ phần Thương mại Bia Sài Gòn Sông Hậu,90%,36.798.955.472,(*),-,90%,36.798.955.472,(*),-,0.9,36798955472.0,,,0.9,36798955472.0,,
▪ Công ty TNHH Một Thành Viên Cơ khí Sa Be Co,▪ Công ty TNHH Một Thành Viên Cơ khí Sa Be Co,▪ Công ty TNHH Một Thành Viên Cơ khí Sa Be Co,100%,59.365.663.690,(*),-,100%,59.365.663.690,(*),-,1.0,59365663690.0,,,1.0,59365663690.0,,
▪ Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,▪ Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,▪ Công ty Cổ phần Thương mại Bia Sài Gòn Đông Bắc,"90,45%",36.000.000.000,(*),-,"90,45%",36.000.000.000,(*),-,0.9045000000000001,36000000000.0,,,0.9045000000000001,36000000000.0,,
▪ Công ty TNHH Một Thành Viên Bia Sài Gòn - Hà Tĩnh,▪ Công ty TNHH Một Thành Viên Bia Sài Gòn - Hà Tĩnh,▪ Công ty TNHH Một Thành Viên Bia Sài Gòn - Hà Tĩnh,100%,120.000.000.000,(*),-,100%,120.000.000.000,(*),-,1.0,120000000000.0,,,1.0,120000000000.0,,
▪ Công ty Cổ phần Bao bì Bia Sài Gòn,▪ Công ty Cổ phần Bao bì Bia Sài Gòn,▪ Công ty Cổ phần Bao bì Bia Sài Gòn,"76,81%",55.174.824.506,(*),-,"76,81%",55.174.824.506,(*),(4.095.506.469),0.7681,55174824506.0,,,0.7681,55174824506.0,,-4095506469.0
▪ Công ty TNHH Một Thành Viên Bia Sài Gòn,▪ Công ty TNHH Một Thành Viên Bia Sài Gòn,▪ Công ty TNHH Một Thành Viên Bia Sài Gòn,100%,10.000.000,(*),-,100%,10.000.000,(*),-,1.0,10000000.0,,,1.0,10000000.0,,
▪ Công ty TNHH Một Thành Viên Tập Đoàn Bia Sài Gòn,▪ Công ty TNHH Một Thành Viên Tập Đoàn Bia Sài Gòn,▪ Công ty TNHH Một Thành Viên Tập Đoàn Bia Sài Gòn,100%,10.000.000,(*),-,100%,10.000.000,(*),-,1.0,10000000.0,,,1.0,10000000.0,,
▪ Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,▪ Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,▪ Công ty Cổ phần Bia Sài Gòn - Lâm Đồng,"52,91%",105.825.000.000,(*),-,"52,91%",105.825.000.000,(*),-,0.5291,105825000000.0,,,0.5291,105825000000.0,,
,,,,2.837.212.995.029,,(148.863.029.844),,2.837.212.995.029,,(119.748.247.313),,2837212995029.0,,-148863029844.0,,2837212995029.0,,-119748247313.0
