row_label_raw,row_label_full,col_0,31/12/2018Cổ phiếu,01/01/2018Cổ phiếu,numeric__31/12/2018Cổ phiếu,numeric__01/01/2018Cổ phiếu
Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,160.000.000,160.000.000,160000000.0,160000000.0
Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,160.000.000,160.000.000,160000000.0,160000000.0
Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,160.000.000,160.000.000,160000000.0,160000000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu được mua lại,Số lượng cổ phiếu được mua lại,Số lượng cổ phiếu được mua lại,-,-,,
Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,-,-,,
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,160.000.000,160.000.000,160000000.0,160000000.0
Cổ phiếu phổ thông,Cổ phiếu ưu đãi > Cổ phiếu phổ thông,Cổ phiếu phổ thông,160.000.000,160.000.000,160000000.0,160000000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,,
Mệnh giá cổ phiếu đang lưu hành (đồng/Cổ phiếu),Cổ phiếu ưu đãi > Mệnh giá cổ phiếu đang lưu hành (đồng/Cổ phiếu),Mệnh giá cổ phiếu đang lưu hành (đồng/Cổ phiếu),10.000,10.000,10000.0,10000.0
