row_label_raw,row_label_full,col_0,"Bản quyền,bằng sáng chế",Phần mềmmáy tính,Khác,Tổng,"numeric__Bản quyền,bằng sáng chế",numeric__Phần mềmmáy tính,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Tại ngày 01/7/2018,NGUYÊN GIÁ > Tại ngày 01/7/2018,Tại ngày 01/7/2018,438.606.719.617,244.331.992.710,32.703.172.505,715.641.884.832,438606719617.0,244331992710.0,32703172505.0,715641884832.0
Mua sắm mối,NGUYÊN GIÁ > Mua sắm mối,Mua sắm mối,-,30.786.776.419,-,30.786.776.419,,30786776419.0,,30786776419.0
Đầu tư xây dựng cơ bản hoànthành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoànthành,Đầu tư xây dựng cơ bản hoànthành,-,22.855.893.000,-,22.855.893.000,,22855893000.0,,22855893000.0
Tại ngày 31/12/2018,NGUYÊN GIÁ > Tại ngày 31/12/2018,Tại ngày 31/12/2018,438.606.719.617,297.974.662.129,32.703.172.505,769.284.554.251,438606719617.0,297974662129.0,32703172505.0,769284554251.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,
Tại ngày 01/7/2018,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 01/7/2018,Tại ngày 01/7/2018,226.553.330.192,69.893.850.858,26.858.112.963,323.305.294.013,226553330192.0,69893850858.0,26858112963.0,323305294013.0
Khẩu hao trong kỳ,GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong kỳ,Khẩu hao trong kỳ,14.192.688.492,23.723.433.219,340.391.013,38.256.512.724,14192688492.0,23723433219.0,340391013.0,38256512724.0
"Khẩu hao tài sản của dự án,tài sản cho mục đích phúc lợi","GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao tài sản của dự án,tài sản cho mục đích phúc lợi","Khẩu hao tài sản của dự án,tài sản cho mục đích phúc lợi",-,458.836.680,-,458.836.680,,458836680.0,,458836680.0
Tại ngày 31/12/2018,GIÁ TRỊ HAO MÔN LỦY KẾ > Tại ngày 31/12/2018,Tại ngày 31/12/2018,240.746.018.684,94.076.120.757,27.198.503.976,362.020.643.417,240746018684.0,94076120757.0,27198503976.0,362020643417.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày 01/7/2018,GIÁ TRỊ CÒN LẠI > Tại ngày 01/7/2018,Tại ngày 01/7/2018,212.053.389.425,174.438.141.852,5.845.059.542,392.335.590.819,212053389425.0,174438141852.0,5845059542.0,392335590819.0
Tại ngày 31/12/2018,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2018,Tại ngày 31/12/2018,197.860.700.933,203.898.541.372,5.504.668.529,407.263.910.834,197860700933.0,203898541372.0,5504668529.0,407263910834.0
