row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,31/12/2018VND,01/01/2018VND,numeric__Mối quan hệ,numeric__31/12/2018VND,numeric__01/01/2018VND
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,,,
Công ty CP Đầu tư Hải Phát Thủ Đô,Phải thu khách hàng > Công ty CP Đầu tư Hải Phát Thủ Đô,Công ty CP Đầu tư Hải Phát Thủ Đô,Đồng kiểm soát,16.355.465.698,-,,16355465698.0,
Công ty CP Hải Phát Kinh Bắc,Phải thu khách hàng > Công ty CP Hải Phát Kinh Bắc,Công ty CP Hải Phát Kinh Bắc,Đồng kiểm soát,-,156.000.000,,,156000000.0
Công ty CP Hải Phát Kinh Bắc,Công ty CP Hải Phát Kinh Bắc,Công ty CP Hải Phát Kinh Bắc,Công ty liên quan tới Lãnh đạo,,,,,
Công ty CP Dịch vụ Đô thị Hải Phát PSP,Công ty CP Hải Phát Kinh Bắc > Công ty CP Dịch vụ Đô thị Hải Phát PSP,Công ty CP Dịch vụ Đô thị Hải Phát PSP,Công ty,-,8.548.980.600,,,8548980600.0
Công ty CP Đầu tư Đại Đông Á,Công ty CP Hải Phát Kinh Bắc > Công ty CP Đầu tư Đại Đông Á,Công ty CP Đầu tư Đại Đông Á,Công ty liên kết,331.665.201,86.971.970.909,,331665201.0,86971970909.0
Công ty CP Xây lắp Hải Phát,Công ty CP Hải Phát Kinh Bắc > Công ty CP Xây lắp Hải Phát,Công ty CP Xây lắp Hải Phát,Công ty liên quan của thành viên mật thiết với Lãnh đạo Công ty,500.892.339,-,,500892339.0,
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,
Công ty CP Xây lắp Hải Phát,Trả trước cho người bán ngắn hạn > Công ty CP Xây lắp Hải Phát,Công ty CP Xây lắp Hải Phát,Công ty liên quan của thành viên mật thiết với Lãnh đạo Công ty,-,81.295.153.329,,,81295153329.0
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,31/12/2018VND,01/01/2018VND,,,
Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,,,
Công ty CP Dịch vụ Đô thị Hải Phát PSP,Phải trả người bán > Công ty CP Dịch vụ Đô thị Hải Phát PSP,Công ty CP Dịch vụ Đô thị Hải Phát PSP,Công ty liên quan tới Lãnh đạo Công ty,3.762.779.087,13.034.242.556,,3762779087.0,13034242556.0
Công ty TNHH An Quý Hưng,Phải trả người bán > Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,Đồng kiểm soát,9.728.989.435,13.340.210.577,,9728989435.0,13340210577.0
Công ty TNHH An Quý Hưng,Phải trả người bán > Công ty TNHH An Quý Hưng,Công ty TNHH An Quý Hưng,Công ty liên quan của thành viên mật thiết với Lãnh đạo Công ty,9.728.989.435,13.340.210.577,,9728989435.0,13340210577.0
Công ty CP Xây lắp Hải Phát,Phải trả người bán > Công ty CP Xây lắp Hải Phát,Công ty CP Xây lắp Hải Phát,Công ty liên quan của thành viên mật thiết với Lãnh đạo Công ty,21.261.363.414,,,21261363414.0,
Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,Phải trả khác,,,
Công ty CP đầu tư Hải Phát Thủ Đô,Phải trả khác > Công ty CP đầu tư Hải Phát Thủ Đô,Công ty CP đầu tư Hải Phát Thủ Đô,Đồng kiểm soát,202.200.220.000,215.044.754.302,,202200220000.0,215044754302.0
Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Phải trả khác > Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Công ty TNHH Đầu Tư và dịch vụ Hải Lương,Công ty liên quan Lãnh đạo Công ty,-,5.302.959.296,,,5302959296.0
Nhận ký quỹ ký cược,Nhận ký quỹ ký cược,Nhận ký quỹ ký cược,Nhận ký quỹ ký cược,Nhận ký quỹ ký cược,Nhận ký quỹ ký cược,,,
Công ty Cổ phần Đầu tư Đại Đông Á,Nhận ký quỹ ký cược > Công ty Cổ phần Đầu tư Đại Đông Á,Công ty Cổ phần Đầu tư Đại Đông Á,Công ty liên kết,20.000.000.000,-,,20000000000.0,
Các giao dịch với nhân sự chủ chốt,Các giao dịch với nhân sự chủ chốt,Các giao dịch với nhân sự chủ chốt,Các giao dịch với nhân sự chủ chốt,Các giao dịch với nhân sự chủ chốt,Các giao dịch với nhân sự chủ chốt,,,
Bên liên quan,Bên liên quan,Bên liên quan,Tính chất giao dịch,Năm 2018VND,Năm 2017VND,,,
"Ban Giám đốc và HĐQT, BKS","Bên liên quan > Ban Giám đốc và HĐQT, BKS","Ban Giám đốc và HĐQT, BKS","Lương, thù lao",9.617.089.929,4.646.220.648,,9617089929.0,4646220648.0
