row_label_raw,row_label_full,A - TÀI SẢN,Thuyết minh,Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
"I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",V.1,1.046.615,755.932,,1046615.0,755932.0
II. Tiền gửi tại Ngân hàng Nhà nước,II. Tiền gửi tại Ngân hàng Nhà nước,II. Tiền gửi tại Ngân hàng Nhà nước,V.2,4.755.046,3.500.995,,4755046.0,3500995.0
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",V.3,29.872.517,11.911.947,,29872517.0,11911947.0
"1. Tiền, vàng gửi tại các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác","1. Tiền, vàng gửi tại các TCTD khác",V.3.1,29.085.727,11.911.947,,29085727.0,11911947.0
2. Cho vay các TCTD khác,2. Cho vay các TCTD khác,2. Cho vay các TCTD khác,V.3.2,786.790,-,,786790.0,
3. Dự phòng rủi ro,3. Dự phòng rủi ro,3. Dự phòng rủi ro,,-,-,,,
IV. Chứng khoán kinh doanh,IV. Chứng khoán kinh doanh,IV. Chứng khoán kinh doanh,,-,-,,,
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,,-,-,,,
2. Dự phòng rủi ro chứng khoán kinh doanh,2. Dự phòng rủi ro chứng khoán kinh doanh,2. Dự phòng rủi ro chứng khoán kinh doanh,,-,-,,,
V. Công cụ tài chính phải sinh và các tài sản tài chính khác,2. Dự phòng rủi ro chứng khoán kinh doanh > V. Công cụ tài chính phải sinh và các tài sản tài chính khác,V. Công cụ tài chính phải sinh và các tài sản tài chính khác,V.4,6.036,-,,6036.0,
VI. Cho vay khách hàng,2. Dự phòng rủi ro chứng khoán kinh doanh > VI. Cho vay khách hàng,VI. Cho vay khách hàng,,38.020.523,34.423.044,,38020523.0,34423044.0
1. Cho vay khách hàng,2. Dự phòng rủi ro chứng khoán kinh doanh > 1. Cho vay khách hàng,1. Cho vay khách hàng,V.5,38.387.339,34.716.197,,38387339.0,34716197.0
2. Dự phòng rủi ro cho vay khách hàng,2. Dự phòng rủi ro chứng khoán kinh doanh > 2. Dự phòng rủi ro cho vay khách hàng,2. Dự phòng rủi ro cho vay khách hàng,V.6,(366.816),(293.153),,-366816.0,-293153.0
VII. Hoạt động mua nợ,VII. Hoạt động mua nợ,VII. Hoạt động mua nợ,,-,-,,,
1. Mua nợ,1. Mua nợ,1. Mua nợ,,-,-,,,
2. Dự phòng rủi ro hoạt động mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,2. Dự phòng rủi ro hoạt động mua nợ,,-,-,,,
VIII. Chứng khoán đầu tư,2. Dự phòng rủi ro hoạt động mua nợ > VIII. Chứng khoán đầu tư,VIII. Chứng khoán đầu tư,V.7,7.087.660,3.381.781,,7087660.0,3381781.0
1. Chứng khoán đầu tư sẵn sàng để bán,2. Dự phòng rủi ro hoạt động mua nợ > 1. Chứng khoán đầu tư sẵn sàng để bán,1. Chứng khoán đầu tư sẵn sàng để bán,V.7,1.641.483,-,,1641483.0,
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,2. Dự phòng rủi ro hoạt động mua nợ > 2. Chứng khoán đầu tư giữ đến ngày đáo hạn,2. Chứng khoán đầu tư giữ đến ngày đáo hạn,V.7,5.452.133,3.381.781,,5452133.0,3381781.0
3. Dự phòng rủi ro chứng khoán đầu tư,2. Dự phòng rủi ro hoạt động mua nợ > 3. Dự phòng rủi ro chứng khoán đầu tư,3. Dự phòng rủi ro chứng khoán đầu tư,V.7,(5.956),-,,-5956.0,
"IX. Góp vốn, đầu tư dài hạn","2. Dự phòng rủi ro hoạt động mua nợ > IX. Góp vốn, đầu tư dài hạn","IX. Góp vốn, đầu tư dài hạn",V.8,500.000,514.521,,500000.0,514521.0
1. Đầu tư vào công ty con,2. Dự phòng rủi ro hoạt động mua nợ > 1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,V.8,500.000,500.000,,500000.0,500000.0
2. Vốn góp liên doanh,2. Vốn góp liên doanh,2. Vốn góp liên doanh,,-,-,,,
3. Đầu tư vào công ty liên kết,3. Đầu tư vào công ty liên kết,3. Đầu tư vào công ty liên kết,,-,-,,,
4. Đầu tư dài hạn khác,3. Đầu tư vào công ty liên kết > 4. Đầu tư dài hạn khác,4. Đầu tư dài hạn khác,V.8,-,14.521,,,14521.0
5. Dự phòng giảm giá đầu tư dài hạn,5. Dự phòng giảm giá đầu tư dài hạn,5. Dự phòng giảm giá đầu tư dài hạn,,-,-,,,
X. Tài sản cố định,5. Dự phòng giảm giá đầu tư dài hạn > X. Tài sản cố định,X. Tài sản cố định,,1.401.637,1.452.103,,1401637.0,1452103.0
1. Tài sản cố định hữu hình,5. Dự phòng giảm giá đầu tư dài hạn > 1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,V.9,691.058,740.201,,691058.0,740201.0
a. Nguyễn giá tài sản cố định,5. Dự phòng giảm giá đầu tư dài hạn > a. Nguyễn giá tài sản cố định,a. Nguyễn giá tài sản cố định,,1.076.711,1.069.080,,1076711.0,1069080.0
b. Hao mòn tài sản cố định,5. Dự phòng giảm giá đầu tư dài hạn > b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,(385.653),(328.879),,-385653.0,-328879.0
2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,,-,-,,,
a. Nguyễn giá tài sản cố định,a. Nguyễn giá tài sản cố định,a. Nguyễn giá tài sản cố định,,-,-,,,
b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,-,-,,,
3. Tài sản cố định vô hình,b. Hao mòn tài sản cố định > 3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,V.10,710.579,711.902,,710579.0,711902.0
a. Nguyễn giá tài sản cố định,b. Hao mòn tài sản cố định > a. Nguyễn giá tài sản cố định,a. Nguyễn giá tài sản cố định,,794.478,786.615,,794478.0,786615.0
b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định > b. Hao mòn tài sản cố định,b. Hao mòn tài sản cố định,,(83.899),(74.713),,-83899.0,-74713.0
XI. Bất động sản đầu tư,XI. Bất động sản đầu tư,XI. Bất động sản đầu tư,,-,-,,,
a. Nguyên giá bất động sản đầu tư,a. Nguyên giá bất động sản đầu tư,a. Nguyên giá bất động sản đầu tư,,-,-,,,
b. Hao mòn bất động sản đầu tư,b. Hao mòn bất động sản đầu tư,b. Hao mòn bất động sản đầu tư,,-,-,,,
XII. Tài sản có khác,b. Hao mòn bất động sản đầu tư > XII. Tài sản có khác,XII. Tài sản có khác,,1.365.596,1.531.877,,1365596.0,1531877.0
