row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
"Công ty TNHH Nam Long Commercial Property (""Nam Long CP"")","Công ty TNHH Nam Long Commercial Property (""Nam Long CP"")","Công ty TNHH Nam Long Commercial Property (""Nam Long CP"")",Công ty con,
Dịch vụ Nam Long,Dịch vụ Nam Long,Dịch vụ Nam Long,Công ty con,
Nam Long Mekong,Nam Long Mekong,Nam Long Mekong,Công ty con,
Nguyên Sơn,Nguyên Sơn,Nguyên Sơn,Công ty con,
Nam Long ADC,Nam Long ADC,Nam Long ADC,Công ty con,
Sân Giao Dịch,Sân Giao Dịch,Sân Giao Dịch,Công ty con,
Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty TNHH Một Thành Viên Đầu tư Xây dựng Phát triển Nam Khang,Công ty con,
Nam Viên,Nam Viên,Nam Viên,Công ty con,
Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty TNHH Kinh doanh Vật liệu Xây dựng Nam Khang,Công ty con,
Nam Long VCD,Nam Long VCD,Nam Long VCD,Công ty con,
Nam Phan,Nam Phan,Nam Phan,Công ty con,
Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc 6D,Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc 6D,Công ty TNHH Đầu tư và Kinh doanh Bất động sản Nguyên Phúc 6D,Công ty con,
NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,NLG - NNR - HR Fuji,Công ty con,
Công ty TNHH NNH Kikyo Flora,Công ty TNHH NNH Kikyo Flora,Công ty TNHH NNH Kikyo Flora,Công ty con,
Công ty TNHH NNH Kikyo Valora,Công ty TNHH NNH Kikyo Valora,Công ty TNHH NNH Kikyo Valora,Công ty con,
Nam Long Vận tải,Nam Long Vận tải,Nam Long Vận tải,Công ty con,
Nam Long Land,Nam Long Land,Nam Long Land,Công ty con,
Đồng Nai Waterfront,Đồng Nai Waterfront,Đồng Nai Waterfront,Công ty con,
Southgate,Southgate,Southgate,Công ty con,
Nam Phat Land,Nam Phat Land,Nam Phat Land,Công ty con,
Nam Long Retail,Nam Long Retail,Nam Long Retail,Công ty con,
Nam Long SPV,Nam Long SPV,Nam Long SPV,Công ty con,
"Công ty TNHH Paragon Đai Phước (""Paragon"")","Công ty TNHH Paragon Đai Phước (""Paragon"")","Công ty TNHH Paragon Đai Phước (""Paragon"")",Công ty liên doanh,
"Công ty cổ phần NNH Mizuki (""NNH Mizuki"")","Công ty cổ phần NNH Mizuki (""NNH Mizuki"")","Công ty cổ phần NNH Mizuki (""NNH Mizuki"")",Công ty liên doanh,
"Công ty TNHH Anabuki NL Housing Service Việt Nam (""Anabuki"")","Công ty TNHH Anabuki NL Housing Service Việt Nam (""Anabuki"")","Công ty TNHH Anabuki NL Housing Service Việt Nam (""Anabuki"")",Công ty liên kết,
"Công ty Cổ phần Đầu tư Thái Bình (""Thái Bình"")","Công ty Cổ phần Đầu tư Thái Bình (""Thái Bình"")","Công ty Cổ phần Đầu tư Thái Bình (""Thái Bình"")",Bên liên quan,
"Công ty TNHH Đầu tư Tân Hiệp (""Tân Hiệp"")","Công ty TNHH Đầu tư Tân Hiệp (""Tân Hiệp"")","Công ty TNHH Đầu tư Tân Hiệp (""Tân Hiệp"")",Bên liên quan,
