row_label_raw,row_label_full,col_0,col_1,Thuyếtmình,Ngày 31 tháng 12năm 2022triệu đồng,Ngày 31 tháng 12năm 2021triệu đồng,numeric__col_1,numeric__Thuyếtmình,numeric__Ngày 31 tháng 12năm 2022triệu đồng,numeric__Ngày 31 tháng 12năm 2021triệu đồng
1.,1.,1.,Bảo lãnh vay vốn,40,33.980,70.591,,40.0,33980.0,70591.0
2.,2.,2.,Cam kết giao dịch hối đoái,40,223.775.857,241.920.764,,40.0,223775857.0,241920764.0
2.,2.,2.,2.1 Cam kết mua ngoại tệ,,1.408.572,5.288.413,,,1408572.0,5288413.0
2.,2.,2.,2.2 Cam kết bán ngoại tệ,,1.407.285,5.297.947,,,1407285.0,5297947.0
2.,2.,2.,2.3 Cam kết giao dịch hoán đổi,,220.960.000,231.334.404,,,220960000.0,231334404.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,40,9.141.549,9.529.543,,40.0,9141549.0,9529543.0
4.,4.,4.,Bảo lãnh khác,40,20.444.318,15.331.738,,40.0,20444318.0,15331738.0
5.,5.,5.,Các cam kết khác,40,16.451.969,8.434.389,,40.0,16451969.0,8434389.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,41,779.182,2.042.257,,41.0,779182.0,2042257.0
7.,7.,7.,Nợ khó đòi đã xử lý,42,13.624.430,11.446.287,,42.0,13624430.0,11446287.0
8.,8.,8.,Tài sản và chứng từ khác,43,114.866.183,106.062.730,,43.0,114866183.0,106062730.0
