row_label_raw,row_label_full,20. 4. Cổ phiếu,31/12/2021,01/01/2021,numeric__31/12/2021,numeric__01/01/2021
Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,,,,
Số lượng cổ phiếu đã bán ra công ch,Số lượng cổ phiếu đăng ký phát hành > Số lượng cổ phiếu đã bán ra công ch,Số lượng cổ phiếu đã bán ra công ch,258.867.849,258.867.849,258867849.0,258867849.0
- Cổ phiếu phổ thông,Số lượng cổ phiếu đăng ký phát hành > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,258.867.849,258.867.849,258867849.0,258867849.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,,,,
Số lượng cổ phiếu được mua lại,Số lượng cổ phiếu được mua lại,Số lượng cổ phiếu được mua lại,,,,
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,,,,
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,,,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,258.867.849,258.867.849,258867849.0,258867849.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,258.867.849,258.867.849,258867849.0,258867849.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,,,,
Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phiếu,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phiếu,,
