row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Vốn đầu tưXDCB vàmua sắm TSCĐTriệu VND,Thặng dư vốn cổ phầnTriệu VND,Cổ phiếuquỹTriệu VND,Quỹ dự trữbổ sungvốn điều lệTriệu VND,Quỹ dựphòng tài chínhTriệu VND,Quỹ đầu tưphát triểnTriệu VND,Lợi nhuậnchưa phânphối/(lỗ lũy kế)Triệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Vốn đầu tưXDCB vàmua sắm TSCĐTriệu VND,numeric__Thặng dư vốn cổ phầnTriệu VND,numeric__Cổ phiếuquỹTriệu VND,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu VND,numeric__Quỹ dựphòng tài chínhTriệu VND,numeric__Quỹ đầu tưphát triểnTriệu VND,numeric__Lợi nhuậnchưa phânphối/(lỗ lũy kế)Triệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,12.355.229,15.396,156.322,(78.273),499.772,957.550,326,(491.850),13.414.472,12355229.0,15396.0,156322.0,-78273.0,499772.0,957550.0,326.0,-491850.0,13414472.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,817.185,817.185,,,,,,,,817185.0,817185.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,40.859,81.719,-,(122.578),-,,,,,40859.0,81719.0,,-122578.0,
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(68),-,-,(68),,,,,,-68.0,,,-68.0
Trích lập quỹ khen thưởng vàphúc lợi (Thuyết minh19(iii)),Trích lập quỹ khen thưởng vàphúc lợi (Thuyết minh19(iii)),Trích lập quỹ khen thưởng vàphúc lợi (Thuyết minh19(iii)),-,-,-,-,-,-,-,(30.000),(30.000),,,,,,,,-30000.0,-30000.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,-,10.000,10.000,,,,,,,,10000.0,10000.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,12.355.229,15.396,156.322,(78.273),540.631,1.039.201,326,182.757,14.211.589,12355229.0,15396.0,156322.0,-78273.0,540631.0,1039201.0,326.0,182757.0,14211589.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,638.893,638.893,,,,,,,,638893.0,638893.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,31.945,63.889,-,(95.834),-,,,,,31945.0,63889.0,,-95834.0,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,-,(53),-,-,(53),,,,,,-53.0,,,-53.0
Trích lập quỹ khen thưởng vàphúc lợi (Thuyết minh 19(iii)),Trích lập quỹ khen thưởng vàphúc lợi (Thuyết minh 19(iii)),Trích lập quỹ khen thưởng vàphúc lợi (Thuyết minh 19(iii)),-,-,-,-,-,-,-,(57.000),(57.000),,,,,,,,-57000.0,-57000.0
Biến động khác (Thuyết minh19(iii)),Biến động khác (Thuyết minh19(iii)),Biến động khác (Thuyết minh19(iii)),-,-,-,-,-,316,-,28.500,28.816,,,,,,316.0,,28500.0,28816.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,12.355.229,15.396,156.322,(78.273),572.576,1.103.353,326,697.316,14.822.245,12355229.0,15396.0,156322.0,-78273.0,572576.0,1103353.0,326.0,697316.0,14822245.0
