row_label_raw,row_label_full,STT,Tên công ty,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Địa chỉ trụ sở chính,Hoạt động chính,numeric__Tên công ty,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động chính
1,1,1,Công ty TNHH Một thành viên Sotrans Logistics,100%,100%,"1B Hoàng Diệu, Phường 13, Quận 4, thành phố Hồ Chí Minh",Kinh doanh dịch vụ kho bãi và lưu giữ hàng hóa,,1.0,1.0,,
2,2,2,Công ty Cổ phần Cảng Miền Nam (“Cảng Miền Nam”),51%,51%,"Số 9 Xa Lộ Hà Nội, Phường Trường Thọ, Quận Thủ Đức, Thành phố Hồ Chí Minh","Kinh doanh vận tải đa phương thức, giao nhận hàng hóa",,0.51,0.51,,
3,3,3,Công ty TNHH Một thành viên Đầu tư Hạ tầng Sotrans (“Hạ tầng Sotrans”),100%,100%,"Số 1B Hoàng Diệu, Phường 13, Quận 4, Thành phố Hồ Chí Minh",Kinh doanh dịch vụ hỗ trợ liên quan đến vận tải,,1.0,1.0,,
4,4,4,Tổng Công ty Cổ phần Đường Sống Miền Nam (“Sowatco”),"84,39%","84,39%","Số 298 Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Thành phố Hồ Chí Minh","Kinh doanh thương mại, cơ khí đóng tàu và dịch vụ tiếp vận",,0.8439,0.8439,,
5,5,5,Công ty TNHH Một thành viên Sotrans Hà Tĩnh (“Sotrans Hà Tĩnh”),100%,100%,"Phường Kỳ Thịnh, Thị xã Kỳ Anh, Hà Tĩnh",Kinh doanh hoạt động vận tải bằng đường bộ,,1.0,1.0,,
6,6,6,Công ty Cổ phần Vận tải đa phương thức Vietranstimex (“VTX”),84%,84%,"Lầu 9 Tòa nhà B&L TOWER, số 119-121 Ung Văn Khiêm, phường 25, quận Bình Thạnh, Thành phố Hồ Chí Minh","Kinh doanh hoạt động vận tải bằng đường bộ, vận tải hàng hóa ven biển và viễn dương, cung cấp dịch vụ hỗ trợ trực tiếp cho vận tải đường sắt và đường bộ và vận tải đường thủy",,0.84,0.84,,
7,7,7,Công ty Cổ phần Xây lắp Công trình (“ECCO”),"86,15%","86,15%","Số 202 Lê Lai, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh",Xây dựng các công trình dân dụng,,0.8615,0.8615,,
8,8,8,Công ty Cổ phần Đóng mới và Sửa chữa Phương tiện Thủy Cần Thơ (“Đóng tàu Cần Thơ”),70%,70%,"Số 77B Trần Phú, Phường Cái Khế, Quận Ninh Kiêu, Cần Thơ",Cung cấp các dịch vụ đóng tàu và các cấu kiện nổi,,0.7,0.7,,
9,9,9,Công ty Cổ phần Dịch vụ Xây dựng và Cơ khí Đường thủy Miền Nam (“SOWATMES”),51%,51%,"Số 59 Phạm Ngọc Thạch, Quận 3, Thành phố Hồ Chí Minh",Xây dựng các công trình dân dụng,,0.51,0.51,,
