row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Cộng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Cộng
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Cộng,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,538.410,-,-,-,-,538.410,,,538410.0,,,,,538410.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,4.207.486,-,-,-,-,4.207.486,,,4207486.0,,,,,4207486.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,14.997.374,507.230,-,-,-,15.504.604,,,14997374.0,507230.0,,,,15504604.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),1.240.575,837.674,4.398.566,8.757.328,27.241.286,16.240.335,2.716.145,61.431.909,1240575.0,837674.0,4398566.0,8757328.0,27241286.0,16240335.0,2716145.0,61431909.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),-,-,-,-,-,-,2.973.962,2.973.962,,,,,,,2973962.0,2973962.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,-,-,603.596,12,4.706,51.943,754.704,1.414.961,,,603596.0,12.0,4706.0,51943.0,754704.0,1414961.0
Các tài sản Có khác (*),Tài sản > Các tài sản Có khác (*),Các tài sản Có khác (*),57.461,-,1.393.393,5.733.785,-,-,-,7.184.639,57461.0,,1393393.0,5733785.0,,,,7184639.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.298.036,837.674,26.138.825,14.998.355,27.245.992,16.292.278,6.444.811,93.255.971,1298036.0,837674.0,26138825.0,14998355.0,27245992.0,16292278.0,6444811.0,93255971.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay NHNN và các TCTD khác,Tiền gửi và vay NHNN và các TCTD khác,-,-,14.610.205,507.080,-,7.601,661,15.125.547,,,14610205.0,507080.0,,7601.0,661.0,15125547.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,16.287.174,17.469.228,29.293.802,470.363,927,63.521.494,,,16287174.0,17469228.0,29293802.0,470363.0,927.0,63521494.0
Các công cụ tài chính phải sinh và các nợ phải trả tài chính khác (*),Nợ phải trả > Các công cụ tài chính phải sinh và các nợ phải trả tài chính khác (*),Các công cụ tài chính phải sinh và các nợ phải trả tài chính khác (*),-,-,112.476,-,-,-,-,112.476,,,112476.0,,,,,112476.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,1.881.256,-,2.047.201,3.928.457,,,,,1881256.0,,2047201.0,3928457.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,2.883.342,-,-,-,-,2.883.342,,,2883342.0,,,,,2883342.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,33.893.197,17.976.308,31.175.058,477.964,2.048.789,85.571.316,,,33893197.0,17976308.0,31175058.0,477964.0,2048789.0,85571316.0
Chênh lệch thanh khoản ròng,Nợ phải trả > Chênh lệch thanh khoản ròng,Chênh lệch thanh khoản ròng,1.298.036,837.674,(7.754.372),(2.977.953),(3.929.066),15.814.314,4.396.022,7.684.655,1298036.0,837674.0,-7754372.0,-2977953.0,-3929066.0,15814314.0,4396022.0,7684655.0
