row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Cổ phiếu quỹ Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Các quỹ khác (i) Triệu VND,Lợi nhuận chưa phân phối Triệu VND,Tổng cộng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Cổ phiếu quỹ Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Các quỹ khác (i) Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND,numeric__Tổng cộng Triệu VND
Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,9.376.965,(665.725),515.034,1.772.233,302.914,2.761.295,14.062.716,9376965.0,-665725.0,515034.0,1772233.0,302914.0,2761295.0,14062716.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,2.118.131,2.118.131,,,,,,2118131.0,2118131.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,104.453,208.905,16.668,(330.026),-,,,104453.0,208905.0,16668.0,-330026.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(20.000),(20.000),,,,,,-20000.0,-20000.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,896.274,-,-,-,-,(896.274),-,896274.0,,,,,-896274.0,
Mua cổ phiếu thưởng cho nhân viên (ii),Mua cổ phiếu thưởng cho nhân viên (ii),Mua cổ phiếu thưởng cho nhân viên (ii),-,-,-,-,-,(130.000),(130.000),,,,,,-130000.0,-130000.0
Điều chỉnh các quỹ khác,Điều chỉnh các quỹ khác,Điều chỉnh các quỹ khác,-,-,-,-,(6.427),6.427,-,,,,,-6427.0,6427.0,
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,10.273.239,(665.725),619.487,1.981.138,313.155,3.509.553,16.030.847,10273239.0,-665725.0,619487.0,1981138.0,313155.0,3509553.0,16030847.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,5.137.052,5.137.052,,,,,,5137052.0,5137052.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,256.216,512.432,10.641,(779.289),-,,,256216.0,512432.0,10641.0,-779289.0,
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,-,-,(50.000),(50.000),,,,,,-50000.0,-50000.0
Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),Chia cổ tức bằng cổ phiếu(Thuyết minh 21.3),2.612.638,-,-,-,-,(2.612.638),-,2612638.0,,,,,-2612638.0,
Mua cổ phiếu thưởng cho nhân viên (iii),Mua cổ phiếu thưởng cho nhân viên (iii),Mua cổ phiếu thưởng cho nhân viên (iii),-,-,-,-,-,(100.000),(100.000),,,,,,-100000.0,-100000.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,12.885.877,(665.725),875.703,2.493.570,323.796,5.104.678,21.017.899,12885877.0,-665725.0,875703.0,2493570.0,323796.0,5104678.0,21017899.0
