row_label_raw,row_label_full,col_0,Vốn cổ phần Triệu VND,Thặng dư vốn cổ phần Triệu VND,Vốn khác của chủ sở hữu Triệu VND,Chênh lệch tỷ giá hối đoái Triệu VND,Quỹ khác thuộc vốn chủ sở hữu Triệu VND,Lợi nhuận sau thuế chưa phân phối Triệu VND,Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,Lợi ích cổ đông không kiểm soát Triệu VND,Tổng Triệu VND,numeric__Vốn cổ phần Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Vốn khác của chủ sở hữu Triệu VND,numeric__Chênh lệch tỷ giá hối đoái Triệu VND,numeric__Quỹ khác thuộc vốn chủ sở hữu Triệu VND,numeric__Lợi nhuận sau thuế chưa phân phối Triệu VND,numeric__Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,numeric__Lợi ích cổ đông không kiểm soát Triệu VND,numeric__Tổng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,Số dư tại ngày 1 tháng 1 năm 2020,11.689.464,11.084.357,(8.563.690),11.033,-,28.558.952,42.780.116,9.108.291,51.888.407,11689464.0,11084357.0,-8563690.0,11033.0,,28558952.0,42780116.0,9108291.0,51888407.0
Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,57.368,(60),-,-,-,-,57.308,-,57.308,57368.0,-60.0,,,,,57308.0,,57308.0
Vốn góp vào các công ty con của cổ đông không kiểm soát,Vốn góp vào các công ty con của cổ đông không kiểm soát,Vốn góp vào các công ty con của cổ đông không kiểm soát,-,-,-,-,-,-,-,17.167,17.167,,,,,,,,17167.0,17167.0
Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,(26.435.468),(26.435.468),(808.983),(27.244.451),,,,,,-26435468.0,-26435468.0,-808983.0,-27244451.0
Hợp nhất kinh doanh,Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,-,-,-,-,-,-,900.991,900.991,,,,,,,,900991.0,900991.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,1.233.982,1.233.982,161.031,1.395.013,,,,,,1233982.0,1233982.0,161031.0,1395013.0
Cổ tức đã phân phối của Công ty,Cổ tức đã phân phối của Công ty,Cổ tức đã phân phối của Công ty,-,-,-,-,-,(1.174.683),(1.174.683),-,(1.174.683),,,,,,-1174683.0,-1174683.0,,-1174683.0
Cổ tức đã phân phối của các công ty con,Cổ tức đã phân phối của các công ty con,Cổ tức đã phân phối của các công ty con,-,-,-,-,-,-,-,(234.859),(234.859),,,,,,,,-234859.0,-234859.0
"Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi","Phân bổ vào quỹ khen thưởng, phúc lợi",-,-,-,-,-,(659),(659),(1.198),(1.857),,,,,,-659.0,-659.0,-1198.0,-1857.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,(238.005),-,-,(238.005),2.148,(235.857),,,,-238005.0,,,-238005.0,2148.0,-235857.0
"Tái đánh giá nợ phải trả phúc lợi hữu trí, trừ đi ảnh hưởng thuế","Tái đánh giá nợ phải trả phúc lợi hữu trí, trừ đi ảnh hưởng thuế","Tái đánh giá nợ phải trả phúc lợi hữu trí, trừ đi ảnh hưởng thuế",-,-,-,-,(284.952),-,(284.952),(44.878),(329.830),,,,,-284952.0,,-284952.0,-44878.0,-329830.0
Khác,Khác,Khác,-,-,-,-,-,-,-,(7.070),(7.070),,,,,,,,-7070.0,-7070.0
Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,Số dư tại ngày 31 tháng 12 năm 2020,11.746.832,11.084.297,(8.563.690),(226.972),(284.952),2.182.124,15.937.639,9.092.640,25.030.279,11746832.0,11084297.0,-8563690.0,-226972.0,-284952.0,2182124.0,15937639.0,9092640.0,25030279.0
