row_label_raw,row_label_full,STT,Tên công ty,Quyết định thành lập/Giấy phép hoạt động số,Lĩnh vực hoạt động chính,Tỷ lệ % sở hữu của Ngân hàng,numeric__Tên công ty,numeric__Quyết định thành lập/Giấy phép hoạt động số,numeric__Lĩnh vực hoạt động chính,numeric__Tỷ lệ % sở hữu của Ngân hàng
1,1,1,Công ty Cho thuê Tài chính TNHH Một thành viên BIDV (“BLC”),0100777569 ngày 11 tháng 10 năm 2012 của Sở Kế hoạch và Đầu tư thành phố Hồ Chí Minh,Cho thuê Tài chính,100%,,,,1.0
2,2,2,Công ty TNHH Quản lý Nợ và Khai thác Tài sản BIDV (“BAMC”),0101196750 ngày 12 tháng 01 năm 2011 của Sở Kế hoạch và Đầu tư thành phố Hà Nội,Tài chính/ Ngân hàng,100%,,,,1.0
3,3,3,Công ty Cổ phần Chứng khoán BIDV (“BSC”),111/GP-UBCK ngày 31 tháng 12 năm 2010 của Ủy ban Chứng khoán Nhà nước,Thị trường vốn,"88,12%",,,,0.8812000000000001
4,4,4,Tổng Công ty Cổ phần Bảo hiểm BIDV (“BIC”),11/GPDC16/KDBH ngày 06 tháng 01 năm 2016 của Bộ Tài chính,Bảo hiểm,"51,00%",,,,0.51
5,5,5,Công ty TNHH BIDV Quốc tế (“BIDVI”),39283570-000-04-08-8 cấp lần đầu ngày 17 tháng 4 năm 2008 tại Hồng Kông và Giấy chứng nhận Đầu tư số 111/BKH-DTRNN ngày 20 tháng 3 năm 2008 của Bộ Kế hoạch và Đầu tư. Giấy phép kinh doanh đã được gia hạn đến ngày 17 tháng 4 năm 2017,Tài chính,100%,,,,1.0
6,6,6,Công ty Liên doanh Bảo hiểm Lào Việt (“LVI”),077-08/ĐT ngày 19 tháng 6 năm 2008 do Bộ Kế hoạch Đầu tư của nước Cộng hòa dân chủ nhân dân Lào cấp và Giấy Chứng nhận đầu tư ra nước ngoài số 146/BKH/DTRNN ngày 19 tháng 6 năm 2008 do Bộ Kế hoạch và Đầu tư cấp,Bảo hiểm,"33,15%",,,,0.33149999999999996
7,7,7,Công ty Cổ phần Chứng khoán MHB (“MHBS”),45/UBCK-GPHDKD ngày 28 tháng 12 năm 2006 của Ủy ban Chứng khoán Nhà nước,Thị trường vốn,"60,00%",,,,0.6
8,8,8,Công ty TNHH Đầu tư Phát triển Quốc tế (“IIDC”),0105094855 ngày 31 tháng 12 năm 2010 của Sở Kế hoạch và Đầu tư Thành phố Hà Nội,Tài chính,100%,,,,1.0
9,9,9,Công ty TNHH Đầu tư và Phát triển Campuchia (“IDCC”),5948/09E ngày 02 tháng 7 năm 2009 của Bộ Thương mại Campuchia,Tài chính,100%,,,,1.0
10,10,10,Ngân hàng Đầu tư và Phát triển Campuchia (“BIDC”),B7.09.148 ngày 14 tháng 8 năm 2009 của Ngân hàng Quốc gia Campuchia,Ngân hàng,"98,5%",,,,0.985
