row_label_raw,row_label_full,From 1/1/2021 to 31/12/2021,Copper VND'000,Fluorspar VND'000,Tungsten VND'000,Others VND'000,Total VND'000,numeric__Copper VND'000,numeric__Fluorspar VND'000,numeric__Tungsten VND'000,numeric__Others VND'000,numeric__Total VND'000
Segment revenue,Segment revenue,Segment revenue,"56,404,090","1,347,940,363","11,912,310,136","247,635,257","13,564,289,846",,,,,
Segment gross profit,Segment gross profit,Segment gross profit,"24,352,149","884,982,004","1,285,882,254","75,188,100","2,270,404,507",,,,,
Unallocated expenses,Unallocated expenses,Unallocated expenses,,,,,"(1,083,653,073)",,,,,
Financial income,Financial income,Financial income,,,,,"344,622,946",,,,,
Financial expenses,Financial expenses,Financial expenses,,,,,"(1,435,452,204)",,,,,
Share of profit in associates,Share of profit in associates,Share of profit in associates,,,,,"3,064,567",,,,,
Results from operating activities,Results from operating activities,Results from operating activities,,,,,"98,986,743",,,,,
Other income,Other income,Other income,,,,,"142,172,892",,,,,
Other expenses,Other expenses,Other expenses,,,,,"(84,643,721)",,,,,
Income tax benefit,Income tax benefit,Income tax benefit,,,,,"104,607,715",,,,,
Net profit after tax,Net profit after tax,Net profit after tax,,,,,"261,123,629",,,,,
