row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019Triệu đồng,Ngày 31 tháng 12năm 2018Triệu đồng,numeric__Ngày 31 tháng 12năm 2019Triệu đồng,numeric__Ngày 31 tháng 12năm 2018Triệu đồng
Cam kết bảo lãnh vay vốn,Cam kết bảo lãnh vay vốn,Cam kết bảo lãnh vay vốn,25.262,20.626,25262.0,20626.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,89.266.015,58.158.877,89266015.0,58158877.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,1.577.709,1.466.973,1577709.0,1466973.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,1.716.899,1.466.751,1716899.0,1466751.0
- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,85.971.407,55.225.153,85971407.0,55225153.0
Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,-,1.860,,1860.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,22.201.501,14.799.169,22201501.0,14799169.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,16.745.678,13.860.017,16745678.0,13860017.0
- Cam kết bảo lãnh thanh toán,- Cam kết bảo lãnh thanh toán,- Cam kết bảo lãnh thanh toán,2.767.994,2.285.892,2767994.0,2285892.0
- Cam kết bảo lãnh thực hiện hợp đồng,- Cam kết bảo lãnh thực hiện hợp đồng,- Cam kết bảo lãnh thực hiện hợp đồng,4.662.306,3.415.185,4662306.0,3415185.0
- Cam kết bảo lãnh dự thầu,- Cam kết bảo lãnh dự thầu,- Cam kết bảo lãnh dự thầu,672.064,360.921,672064.0,360921.0
- Cam kết bảo lãnh khác,- Cam kết bảo lãnh khác,- Cam kết bảo lãnh khác,8.643.314,7.798.019,8643314.0,7798019.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,115.638.700,91.315.542,115638700.0,91315542.0
,,,243.877.156,178.156.091,243877156.0,178156091.0
Trừ: Tiền ký quỹ (Thuyết minh số 19),Trừ: Tiền ký quỹ (Thuyết minh số 19),Trừ: Tiền ký quỹ (Thuyết minh số 19),(673.601),(633.077),-673601.0,-633077.0
Nghĩa vụ tiềm ăn và các cam kết đưa ra,Nghĩa vụ tiềm ăn và các cam kết đưa ra,Nghĩa vụ tiềm ăn và các cam kết đưa ra,243.203.555,177.523.014,243203555.0,177523014.0
