row_label_raw,row_label_full,col_0,Cam kết góp vốn,Cam kết góp vốn_1,Thực góp,numeric__Cam kết góp vốn,numeric__Cam kết góp vốn_1,numeric__Thực góp
,,,Giá trị,% sở hữu,Giá trị,,,
Công ty TNHH Một Thành viên Năng lượng Tái tạo Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Năng lượng Tái tạo Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Năng lượng Tái tạo Hoa Sen Cà Ná – Ninh Thuận,20.000.000.000,100%,-,20000000000.0,1.0,
Công ty TNHH Một Thành viên Xi Măng Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Xi Măng Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Xi Măng Hoa Sen Cà Ná – Ninh Thuận,30.000.000.000,100%,-,30000000000.0,1.0,
Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Cà Ná – Ninh Thuận,50.000.000.000,100%,4.000.000.000,50000000000.0,1.0,4000000000.0
Công ty TNHH Một Thành viên Cảng Tổng hợp Quốc tế Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Cảng Tổng hợp Quốc tế Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Cảng Tổng hợp Quốc tế Hoa Sen Cà Ná – Ninh Thuận,50.000.000.000,100%,3.500.000.000,50000000000.0,1.0,3500000000.0
Công ty TNHH Một Thành viên Đầu tư Khu liên hợp luyện cán thép Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Đầu tư Khu liên hợp luyện cán thép Hoa Sen Cà Ná – Ninh Thuận,Công ty TNHH Một Thành viên Đầu tư Khu liên hợp luyện cán thép Hoa Sen Cà Ná – Ninh Thuận,100.000.000.000,100%,15.000.000.000,100000000000.0,1.0,15000000000.0
Công ty Cổ phần Hoa Sen Quy Nhơn,Công ty Cổ phần Hoa Sen Quy Nhơn,Công ty Cổ phần Hoa Sen Quy Nhơn,45.000.000.000,45%,27.900.000.000,45000000000.0,0.45,27900000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,295.000.000.000,,50.400.000.000,295000000000.0,,50400000000.0
