row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021,Trong nướcTriệu VND,Ngoài nướcTriệu VND,Tổng cộngTriệu VND,numeric__Trong nướcTriệu VND,numeric__Ngoài nướcTriệu VND,numeric__Tổng cộngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,1.521.580,-,1.521.580,1521580.0,,1521580.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,24.890.710,-,24.890.710,24890710.0,,24890710.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,27.790.315,194.802,27.985.117,27790315.0,194802.0,27985117.0
Cho vay khách hàng,Tài sản > Cho vay khách hàng,Cho vay khách hàng,201.516.754,-,201.516.754,201516754.0,,201516754.0
Hoạt động mua nợ,Tài sản > Hoạt động mua nợ,Hoạt động mua nợ,160.026,-,160.026,160026.0,,160026.0
Chứng khoán đầu tư,Tài sản > Chứng khoán đầu tư,Chứng khoán đầu tư,44.756.894,-,44.756.894,44756894.0,,44756894.0
Gớp vốn đầu tư dài hạn,Tài sản > Gớp vốn đầu tư dài hạn,Gớp vốn đầu tư dài hạn,69.125,594,69.719,69125.0,594.0,69719.0
Tài sản cố định và bất động sản đầu tư,Tài sản > Tài sản cố định và bất động sản đầu tư,Tài sản cố định và bất động sản đầu tư,607.005,-,607.005,607005.0,,607005.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,10.479.803,-,10.479.803,10479803.0,,10479803.0
,,,311.792.212,195.396,311.987.608,311792212.0,195396.0,311987608.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,43.578.763,20.877.707,64.456.470,43578763.0,20877707.0,64456470.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,166.933.993,6.630.897,173.564.890,166933993.0,6630897.0,173564890.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,63.933,-,63.933,63933.0,,63933.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",8.648,-,8.648,8648.0,,8648.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,42.298.182,-,42.298.182,42298182.0,,42298182.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,4.834.266,-,4.834.266,4834266.0,,4834266.0
,,,257.717.785,27.508.604,285.226.389,257717785.0,27508604.0,285226389.0
Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,,,,,,
Cam kết giao dịch hối đoái,Các cam kết ngoại bảng > Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,105.632.149,-,105.632.149,105632149.0,,105632149.0
Cam kết trong nghiệp vụ thư tín dụng,Các cam kết ngoại bảng > Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,2.932.720,-,2.932.720,2932720.0,,2932720.0
Bảo lãnh khác,Các cam kết ngoại bảng > Bảo lãnh khác,Bảo lãnh khác,5.093.186,-,5.093.186,5093186.0,,5093186.0
Các cam kết khác,Các cam kết ngoại bảng > Các cam kết khác,Các cam kết khác,21.620.106,-,21.620.106,21620106.0,,21620106.0
,,,135.278.161,-,135.278.161,135278161.0,,135278161.0
