row_label_raw,row_label_full,As at 31 December 2024,Overdue > Overdue over 3 months VND,Overdue > Overdue up to 3 months VND,Overdue > Up to 1 month VND,Current > From over 1 to 3 months VND,Current > From over 3 to 12 months VND,Current > From over 1 to 5 years VND,Current > Over 5 years VND,Current > Total VND,numeric__Overdue > Overdue over 3 months VND,numeric__Overdue > Overdue up to 3 months VND,numeric__Overdue > Up to 1 month VND,numeric__Current > From over 1 to 3 months VND,numeric__Current > From over 3 to 12 months VND,numeric__Current > From over 1 to 5 years VND,numeric__Current > Over 5 years VND,numeric__Current > Total VND
Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,,,,,,,,
Cash on hand and gold,Cash on hand and gold,Cash on hand and gold,-,-,"787,773,771,826",-,-,-,-,"787,773,771,826",,,,,,,,
Balances with the SBV,Balances with the SBV,Balances with the SBV,-,-,"2,377,473,012,237",-,-,-,-,"2,377,473,012,237",,,,,,,,
Deposits with and loans to other CIs,Deposits with and loans to other CIs,Deposits with and loans to other CIs,-,-,"36,490,627,257,631","2,525,845,000,000",-,"109,727,000,000",-,"39,126,199,257,631",,,,,,,,
Loans to customers and purchased debts - gross,Loans to customers and purchased debts - gross,Loans to customers and purchased debts - gross,"5,495,106,007,177","1,276,165,784,976","7,344,230,025,038","11,576,533,545,672","31,912,297,583,246","43,358,874,544,505","74,960,484,472,417","175,923,691,963,031",,,,,,,,
Investment securities - gross,Investment securities - gross,Investment securities - gross,-,-,-,"50,679,985,651","29,680,452,385,902","3,557,721,984,057","19,346,756,171,847","52,635,610,527,457",,,,,,,,
Fixed assets,Fixed assets,Fixed assets,-,-,-,-,-,-,"630,506,628,479","630,506,628,479",,,,,,,,
Other assets - gross,Other assets - gross,Other assets - gross,"4,800,000,000",-,"391,897,698,577","103,408,902,509","1,144,007,078,024","3,250,060,707,199","2,750,219,698,002","7,644,394,084,311",,,,,,,,
Total assets (1),Total assets (1),Total assets (1),"5,499,906,007,177","1,276,165,784,976","47,392,001,765,309","14,256,467,433,832","62,736,757,047,172","50,276,384,235,761","97,687,966,970,745","279,125,649,244,972",,,,,,,,
Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,,,,,,,,
Due to the Government and the SBV,Due to the Government and the SBV,Due to the Government and the SBV,-,-,"3,393,187,130,601",-,"76,348,421,538",-,-,"3,469,535,552,139",,,,,,,,
Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,-,-,"41,822,856,617,208","2,987,935,273,199","102,343,594,411","95,145,720,680",-,"45,008,281,205,498",,,,,,,,
Deposits from customers,Deposits from customers,Deposits from customers,-,-,"54,109,437,688,785","33,025,502,177,077","49,198,346,215,948","6,126,003,248,390","474,157,712","142,459,763,487,912",,,,,,,,
Derivatives and other financial liabilities,Derivatives and other financial liabilities,Derivatives and other financial liabilities,-,-,"(24,136,099,162)","(152,757,783,013)","533,156,540,019",-,-,"356,262,657,844",,,,,,,,
"Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks",-,-,-,"5,954,805,000","45,852,880,760","5,890,275,823,635",-,"5,942,083,509,395",,,,,,,,
Valuable papers issued,Valuable papers issued,Valuable papers issued,-,-,"200,312,500,000","59,200,000,000","13,230,900,000,000","30,520,300,000,000",-,"44,010,712,500,000",,,,,,,,
Other liabilities - gross,Other liabilities - gross,Other liabilities - gross,-,-,"483,635,328,459","662,413,296,891","1,752,876,311,150","669,248,641,330","2,091,027","3,568,175,668,857",,,,,,,,
Total liabilities (2),Total liabilities (2),Total liabilities (2),-,-,"99,985,293,165,891","36,588,247,769,154","64,939,823,963,826","43,300,973,434,035","476,248,739","244,814,814,581,645",,,,,,,,
Net liquidity gap [(3)=(1)-(2)],Net liquidity gap [(3)=(1)-(2)],Net liquidity gap [(3)=(1)-(2)],"5,499,906,007,177","1,276,165,784,976","(52,593,291,400,582)","(22,331,780,335,322)","(2,203,066,916,654)","6,975,410,801,726","97,687,490,722,006","34,310,834,663,327",,,,,,,,
