row_label_raw,row_label_full,col_0,Fair value through profit or loss VND,Loans and receivables VND,Available-for-sale VND,Amortised cost VND,Carrying amount VND,Fair value VND,numeric__Fair value through profit or loss VND,numeric__Loans and receivables VND,numeric__Available-for-sale VND,numeric__Amortised cost VND,numeric__Carrying amount VND,numeric__Fair value VND
Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,,,,,,
Cash on hand and gold,Cash on hand and gold,Cash on hand and gold,-,"1,160,353,537,112",-,-,"1,160,353,537,112","1,160,353,537,112",,,,,,
Balances with the SBV,Balances with the SBV,Balances with the SBV,-,"2,883,240,107,112",-,-,"2,883,240,107,112","2,883,240,107,112",,,,,,
Deposits with and loans to other CIs,Deposits with and loans to other CIs,Deposits with and loans to other CIs,-,"53,061,333,717,576",-,-,"53,061,333,717,576",(*),,,,,,
Held-for-trading securities,Held-for-trading securities,Held-for-trading securities,"50,765,500,000",-,-,-,"50,765,500,000","50,765,500,000",,,,,,
Derivatives and other financial assets,Derivatives and other financial assets,Derivatives and other financial assets,"88,476,577,033",,-,-,"88,476,577,033",(*),,,,,,
Loans and advances to customers – gross,Loans and advances to customers – gross,Loans and advances to customers – gross,-,"198,764,945,826,810",-,-,"198,764,945,826,810",(*),,,,,,
Purchased debts – gross,Purchased debts – gross,Purchased debts – gross,-,"4,236,968,484,204",-,-,"4,236,968,484,204",(*),,,,,,
Available-for-sale securities – gross,Available-for-sale securities – gross,Available-for-sale securities – gross,-,-,"57,068,503,060,644","1,313,209,000,824","58,381,712,061,468",(*),,,,,,
Other financial assets – gross,Other financial assets – gross,Other financial assets – gross,-,"3,712,906,890,936",-,-,"3,712,906,890,936",(*),,,,,,
,,,"139,242,077,033","263,819,748,563,750","57,068,503,060,644","1,313,209,000,824","322,340,702,702,251",,,,,,,
Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,,,,,,
Due to the Government and the SBV,Due to the Government and the SBV,Due to the Government and the SBV,-,-,-,"7,902,618,040,898","7,902,618,040,898",(*),,,,,,
Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,-,-,-,"54,809,627,751,675","54,809,627,751,675",(*),,,,,,
Deposits from customers,Deposits from customers,Deposits from customers,-,-,-,"150,029,644,383,127","150,029,644,383,127",(*),,,,,,
"Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks",-,-,-,"6,258,279,454,840","6,258,279,454,840",(*),,,,,,
Valuable papers issued,Valuable papers issued,Valuable papers issued,-,-,-,"64,670,500,000,000","64,670,500,000,000",(*),,,,,,
Other financial liabilities,Other financial liabilities,Other financial liabilities,-,-,-,"4,391,743,023,845","4,391,743,023,845",(*),,,,,,
,,,-,-,-,"288,062,412,654,385","288,062,412,654,385",,,,,,,
