row_label_raw,row_label_full,As at 31 December 2024,EURVND equivalent,USDVND equivalent,GoldVND equivalent,Other foreign currenciesVND equivalent,TotalVND equivalent,numeric__EURVND equivalent,numeric__USDVND equivalent,numeric__GoldVND equivalent,numeric__Other foreign currenciesVND equivalent,numeric__TotalVND equivalent
Assets,Assets,Assets,Assets,Assets,Assets,Assets,Assets,,,,,
Cash on hand and gold,Cash on hand and gold,Cash on hand and gold,"4,983,677,046","71,302,384,706","91,520,000","4,392,458,374","80,770,040,126",,,,,
Balances with the SBV,Balances with the SBV,Balances with the SBV,-,"149,960,919,227",-,-,"149,960,919,227",,,,,
Deposits with and loans to other CIs,Deposits with and loans to other CIs,Deposits with and loans to other CIs,"25,020,759,155","3,263,323,924,876",-,"141,845,598,202","3,430,190,282,233",,,,,
Loans and advances to customers – gross,Loans and advances to customers – gross,Loans and advances to customers – gross,-,"709,691,828,645",-,-,"709,691,828,645",,,,,
Other assets – gross,Other assets – gross,Other assets – gross,"13,177,148","269,142,383,134",-,"4,014,335","269,159,574,617",,,,,
Total assets (1),Total assets (1),Total assets (1),"30,017,613,349","4,463,421,440,588","91,520,000","146,242,070,911","4,639,772,644,848",,,,,
Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,Liabilities,,,,,
Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,-,"4,146,223,218,865",-,-,"4,146,223,218,865",,,,,
Deposits from customers,Deposits from customers,Deposits from customers,"26,856,678,673","1,409,949,723,952",-,"113,324,293,237","1,550,130,695,862",,,,,
Derivatives and other financial liabilities,Derivatives and other financial liabilities,Derivatives and other financial liabilities,-,"(6,732,793,656,564)",-,-,"(6,732,793,656,564)",,,,,
"Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks",-,"5,855,455,000,000",-,-,"5,855,455,000,000",,,,,
Other liabilities – gross,Other liabilities – gross,Other liabilities – gross,"2,389,104,691","102,033,911,344","11,019,008","1,568,724,998","106,002,760,041",,,,,
Total liabilities (2),Total liabilities (2),Total liabilities (2),"29,245,783,364","4,780,868,197,597","11,019,008","114,893,018,235","4,925,018,018,204",,,,,
Foreign exchange position on-balance-sheet [(3)=(1)-(2)],Foreign exchange position on-balance-sheet [(3)=(1)-(2)],Foreign exchange position on-balance-sheet [(3)=(1)-(2)],"771,829,985","(317,446,757,009)","80,500,992","31,349,052,676","(285,245,373,356)",,,,,
Foreign exchange position off-balance-sheet (4),Foreign exchange position off-balance-sheet (4),Foreign exchange position off-balance-sheet (4),-,"557,430,496,921",-,"(23,038,800,000)","534,391,696,921",,,,,
Foreign exchange position on and off-balance-sheet [(5)=(3)+(4)],Foreign exchange position on and off-balance-sheet [(5)=(3)+(4)],Foreign exchange position on and off-balance-sheet [(5)=(3)+(4)],"771,829,985","239,983,739,912","80,500,992","8,310,252,676","249,146,323,565",,,,,
