row_label_raw,row_label_full,col_0,Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia (“Công ty Hoàng Gia”),Công ty Cổ phần Đầu tư Bảo Lai,Các công ty con khác,Tổng cộng,numeric__Công ty Cổ phần Phát triển Đô thị Nam Hà Nội,numeric__Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,numeric__Công ty Cổ phần Đầu tư và Phát triển Địa ốc Thành phố Hoàng Gia (“Công ty Hoàng Gia”),numeric__Công ty Cổ phần Đầu tư Bảo Lai,numeric__Các công ty con khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,1.479.784,1.455.055,812.737,140.234,2.329.086,6.216.896,1479784.0,1455055.0,812737.0,140234.0,2329086.0,6216896.0
Giảm trong năm,Nguyên giá: > Giảm trong năm,Giảm trong năm,-,(1.455.055),-,-,-,(1.455.055),,-1455055.0,,,,-1455055.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,1.479.784,-,812.737,140.234,2.329.086,4.761.841,1479784.0,,812737.0,140234.0,2329086.0,4761841.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,1.479.784,1.363.183,812.737,29.068,1.767.557,5.452.329,1479784.0,1363183.0,812737.0,29068.0,1767557.0,5452329.0
Phân bổ trong năm,Giá trị hao mòn lũy kế: > Phân bổ trong năm,Phân bổ trong năm,-,78.393,-,14.738,165.332,258.463,,78393.0,,14738.0,165332.0,258463.0
Giảm trong năm,Giá trị hao mòn lũy kế: > Giảm trong năm,Giảm trong năm,-,(1.441.576),-,-,-,(1.441.576),,-1441576.0,,,,-1441576.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,1.479.784,-,812.737,43.806,1.932.889,4.269.216,1479784.0,,812737.0,43806.0,1932889.0,4269216.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,91.872,-,111.166,561.529,764.567,,91872.0,,111166.0,561529.0,764567.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,-,-,96.428,396.197,492.625,,,,96428.0,396197.0,492625.0
