row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối đoái,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,38.675.533,40.063.173,18.481.872,(1.344.123),(198.406),77.845,4.718.123,59.097.849,159.571.866,38675533.0,40063173.0,18481872.0,-1344123.0,-198406.0,77845.0,4718123.0,59097849.0,159571866.0
- Chuyển đổi cổ phiếu ưu đãi thành cổ phiếu phổ thông trong năm,Năm trước > - Chuyển đổi cổ phiếu ưu đãi thành cổ phiếu phổ thông trong năm,- Chuyển đổi cổ phiếu ưu đãi thành cổ phiếu phổ thông trong năm,13.040,(13.040),-,-,-,-,-,-,-,13040.0,-13040.0,,,,,,,
- Lợi nhuận/(lỗ) thuần trong năm,Năm trước > - Lợi nhuận/(lỗ) thuần trong năm,- Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,-,-,8.781.861,(6.737.517),2.044.344,,,,,,,8781861.0,-6737517.0,2044344.0
"- Chuyển nhượng, giải thể công ty con","Năm trước > - Chuyển nhượng, giải thể công ty con","- Chuyển nhượng, giải thể công ty con",-,-,-,-,-,-,(200.508),(1.189.655),(1.390.163),,,,,,,-200508.0,-1189655.0,-1390163.0
- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát,Năm trước > - Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát,- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất quyền kiểm soát,-,-,-,-,-,-,1.055.635,(26.868.860),(25.813.225),,,,,,,1055635.0,-26868860.0,-25813225.0
- Góp vốn từ cổ đông không kiểm soát,Năm trước > - Góp vốn từ cổ đông không kiểm soát,- Góp vốn từ cổ đông không kiểm soát,-,-,-,-,-,-,-,4.723.482,4.723.482,,,,,,,,4723482.0,4723482.0
"- Cổ tức, lợi nhuận chia bồi các công ty con cho cổ đông không kiểm soát","Năm trước > - Cổ tức, lợi nhuận chia bồi các công ty con cho cổ đông không kiểm soát","- Cổ tức, lợi nhuận chia bồi các công ty con cho cổ đông không kiểm soát",-,-,-,-,-,-,-,(3.382.021),(3.382.021),,,,,,,,-3382021.0,-3382021.0
- Trích quỹ khác,Năm trước > - Trích quỹ khác,- Trích quỹ khác,-,-,-,-,-,10.000,(8.468),(1.532),-,,,,,,10000.0,-8468.0,-1532.0,
- Thay đổi khác,Năm trước > - Thay đổi khác,- Thay đổi khác,-,-,-,-,(19.733),-,-,(79.101),(98.834),,,,,-19733.0,,,-79101.0,-98834.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,38.688.573,40.050.133,18.481.872,(1.344.123),(218.139),87.845,14.346.643,25.562.645,135.655.449,38688573.0,40050133.0,18481872.0,-1344123.0,-218139.0,87845.0,14346643.0,25562645.0,135655449.0
