row_label_raw,row_label_full,Số dư cuối năm,31/12/2016Triệu VNDPhải thu/(Phải trả),31/12/2015Triệu VND,numeric__31/12/2016Triệu VNDPhải thu/(Phải trả),numeric__31/12/2015Triệu VND
Công ty con,Công ty con,Công ty con,,,,
Tiền gửi từ công ty con,Công ty con > Tiền gửi từ công ty con,Tiền gửi từ công ty con,(109.767),(94.692),-109767.0,-94692.0
Lãi phải trả công ty con,Công ty con > Lãi phải trả công ty con,Lãi phải trả công ty con,(295),(218),-295.0,-218.0
Đầu tư góp vốn vào công ty con,Công ty con > Đầu tư góp vốn vào công ty con,Đầu tư góp vốn vào công ty con,955.000,955.000,955000.0,955000.0
Khoản phải thu khác từ công ty con,Công ty con > Khoản phải thu khác từ công ty con,Khoản phải thu khác từ công ty con,4.000,4.000,4000.0,4000.0
Phải trả công ty con,Công ty con > Phải trả công ty con,Phải trả công ty con,(806.930),(806.930),-806930.0,-806930.0
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Tiền gửi từ các cổ đông lớn,Các cổ đông lớn > Tiền gửi từ các cổ đông lớn,Tiền gửi từ các cổ đông lớn,(1.830.566),(1.757.538),-1830566.0,-1757538.0
Vay từ các cổ đông lớn,Các cổ đông lớn > Vay từ các cổ đông lớn,Vay từ các cổ đông lớn,(454.000),(112.100),-454000.0,-112100.0
Tiền gửi tại các cổ đông lớn,Các cổ đông lớn > Tiền gửi tại các cổ đông lớn,Tiền gửi tại các cổ đông lớn,736.132,1.759.491,736132.0,1759491.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Tiền gửi từ các bên liên quan khác,Các bên liên quan khác (*) > Tiền gửi từ các bên liên quan khác,Tiền gửi từ các bên liên quan khác,(264.466),(58.414),-264466.0,-58414.0
Lãi phải trả cho các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải trả cho các bên liên quan khác,Lãi phải trả cho các bên liên quan khác,(6.873),(7.994),-6873.0,-7994.0
Cho các bên liên quan khác vay,Các bên liên quan khác (*) > Cho các bên liên quan khác vay,Cho các bên liên quan khác vay,156.785,257,156785.0,257.0
Lãi phải thu các bên liên quan khác,Các bên liên quan khác (*) > Lãi phải thu các bên liên quan khác,Lãi phải thu các bên liên quan khác,1.495,-,1495.0,
Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,2016Triệu VNDThu nhập/(Chi phí),2015Triệu VND,,
Công ty con,Công ty con,Công ty con,,,,
Chi phí lãi,Công ty con > Chi phí lãi,Chi phí lãi,(5.735),(6.495),-5735.0,-6495.0
Các cổ đông lớn,Các cổ đông lớn,Các cổ đông lớn,,,,
Thu nhập lãi,Các cổ đông lớn > Thu nhập lãi,Thu nhập lãi,902,946,902.0,946.0
Chi phí lãi,Các cổ đông lớn > Chi phí lãi,Chi phí lãi,(14.533),(29.935),-14533.0,-29935.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,,,
Thu nhập lãi,Các bên liên quan khác (*) > Thu nhập lãi,Thu nhập lãi,3.748,29,3748.0,29.0
Chi phí lãi,Các bên liên quan khác (*) > Chi phí lãi,Chi phí lãi,(6.440),(2.323),-6440.0,-2323.0
Thù lao trả cho các Thành viên Hội đồng Quản trị,Các bên liên quan khác (*) > Thù lao trả cho các Thành viên Hội đồng Quản trị,Thù lao trả cho các Thành viên Hội đồng Quản trị,-,(17.747),,-17747.0
Thù lao trả cho Ban Kiểm soát,Các bên liên quan khác (*) > Thù lao trả cho Ban Kiểm soát,Thù lao trả cho Ban Kiểm soát,-,(7.021),,-7021.0
Tiền lương và phụ cấp trả cho Ban Tổng Giám đốc,Các bên liên quan khác (*) > Tiền lương và phụ cấp trả cho Ban Tổng Giám đốc,Tiền lương và phụ cấp trả cho Ban Tổng Giám đốc,(40.560),(48.858),-40560.0,-48858.0
