row_label_raw,row_label_full,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Cổ đông có ảnh hưởng đáng kể,numeric__Cổ đông có ảnh hưởng đáng kể
Công ty TNHH MTV Khách sạn Becamex,Công ty TNHH MTV Khách sạn Becamex,Công ty TNHH MTV Khách sạn Becamex,Công ty con,
Công ty TNHH MTV Thương mại Becamex,Công ty TNHH MTV Thương mại Becamex,Công ty TNHH MTV Thương mại Becamex,Công ty con,
Công ty TNHH MTV WTC Bình Dương,Công ty TNHH MTV WTC Bình Dương,Công ty TNHH MTV WTC Bình Dương,Công ty con,
Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty Cổ phần Phát triển Đô thị,Công ty con của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty con của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty con của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty Cổ phần Bệnh viện Mỹ Phước,Công ty con của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,Công ty con của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Becamex,Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Becamex,Công ty Cổ phần Bệnh viện Đa khoa Quốc tế Becamex,Công ty con của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
Công ty Cổ phần Cao su Bình Dương,Công ty Cổ phần Cao su Bình Dương,Công ty Cổ phần Cao su Bình Dương,Công ty liên kết của Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,
