row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,Công ty mẹ,
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Công ty liên kết,
Công ty TNHH S.A.S. - CTAMAD,Công ty TNHH S.A.S. - CTAMAD,Công ty TNHH S.A.S. - CTAMAD,Công ty liên kết gián tiếp,
Công ty Cổ phần Kinh doanh Gạch ốp lát Viglacera,Công ty Cổ phần Kinh doanh Gạch ốp lát Viglacera,Công ty Cổ phần Kinh doanh Gạch ốp lát Viglacera,Công ty cùng Tập đoàn,
Công ty Cổ phần Hạ tàng GELEX,Công ty Cổ phần Hạ tàng GELEX,Công ty Cổ phần Hạ tàng GELEX,Công ty cùng Tập đoàn,
Công ty TNHH Đầu tư GELEX,Công ty TNHH Đầu tư GELEX,Công ty TNHH Đầu tư GELEX,Công ty cùng Tập đoàn,
Công ty TNHH Điện gió Hướng Phùng,Công ty TNHH Điện gió Hướng Phùng,Công ty TNHH Điện gió Hướng Phùng,Công ty cùng Tập đoàn đến ngày 30 tháng 5 năm 2024,
Công ty TNHH Năng lượng GELEX Quảng Trị,Công ty TNHH Năng lượng GELEX Quảng Trị,Công ty TNHH Năng lượng GELEX Quảng Trị,Công ty cùng Tập đoàn đến ngày 08 tháng 5 năm 2024,
Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,Cổ đông/Bên liên quan của thành viên HĐQT,
Công ty Cổ phần GVI,Công ty Cổ phần GVI,Công ty Cổ phần GVI,Bên liên quan của thành viên HĐQT,
Công ty TNHH Năng lượng GELEX Ninh Thuận,Công ty TNHH Năng lượng GELEX Ninh Thuận,Công ty TNHH Năng lượng GELEX Ninh Thuận,Công ty liên kết gián tiếp kể từ ngày 14 tháng 6 năm 2024,
Công ty TNHH Chế tạo Điện cơ HEM,Công ty TNHH Chế tạo Điện cơ HEM,Công ty TNHH Chế tạo Điện cơ HEM,Công ty liên kết gián tiếp kể từ ngày 29 tháng 11 năm 2024,
Công ty Cổ phần Thiết bị Công nghiệp GEIC,Công ty Cổ phần Thiết bị Công nghiệp GEIC,Công ty Cổ phần Thiết bị Công nghiệp GEIC,Bên liên quan của Tổng Giám đốc đến ngày 30 tháng 9 năm 2025,
