row_label_raw,row_label_full,col_0,Năm 2017Cổ phiếu,Năm 2016Cổ phiếu,numeric__Năm 2017Cổ phiếu,numeric__Năm 2016Cổ phiếu
Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,83.599.988,56.964.988,83599988.0,56964988.0
Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,83.599.988,56.964.988,83599988.0,56964988.0
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,83.599.988,56.964.988,83599988.0,56964988.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu được mua lại,Số lượng cổ phiếu được mua lại,Số lượng cổ phiếu được mua lại,-,-,,
- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,- Cổ phiếu phổ thông,-,-,,
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Số lượng cổ phiếu đang lưu hành,- Cổ phiếu ưu đãi > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,83.599.988,56.964.988,83599988.0,56964988.0
- Cổ phiếu phổ thông,- Cổ phiếu ưu đãi > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,83.599.988,56.964.988,83599988.0,56964988.0
- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,- Cổ phiếu ưu đãi,-,-,,
Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phần.,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phần.,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phần.,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phần.,Mệnh giá cổ phiếu đang lưu hành: 10.000 đồng/cổ phần.,,
