row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,Số dư tại ngày 1/1/2023,2.704.330.020.000,711.136.556.786,213.577.792.672,64.632.444.542,1.199.145.355.439,4.892.822.169.439,2704330020000.0,711136556786.0,213577792672.0,64632444542.0,1199145355439.0,4892822169439.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,112.700.657.891,112.700.657.891,,,,,112700657891.0,112700657891.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,33.396.044.759,-,(33.396.044.759),-,,,33396044759.0,,-33396044759.0,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,(66.792.089.518),(66.792.089.518),,,,,-66792089518.0,-66792089518.0
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),405.625.560.000,-,-,-,(405.625.560.000),-,405625560000.0,,,,-405625560000.0,
Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,-,(2.890.000.000),(2.890.000.000),,,,,-2890000000.0,-2890000000.0
Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,Số dư tại ngày 1/1/2024,3.109.955.580.000,711.136.556.786,246.973.837.431,64.632.444.542,803.142.319.053,4.935.840.737.812,3109955580000.0,711136556786.0,246973837431.0,64632444542.0,803142319053.0,4935840737812.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,269.764.321.899,269.764.321.899,,,,,269764321899.0,269764321899.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 24)",-,-,-,-,(11.270.065.790),(11.270.065.790),,,,,-11270065790.0,-11270065790.0
Trả cổ tức thông qua việc phát hành cổ phiếu (Thuyết minh 27),Trả cổ tức thông qua việc phát hành cổ phiếu (Thuyết minh 27),Trả cổ tức thông qua việc phát hành cổ phiếu (Thuyết minh 27),466.465.630.000,-,-,-,(466.465.630.000),-,466465630000.0,,,,-466465630000.0,
Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,-,(6.000.000.000),(6.000.000.000),,,,,-6000000000.0,-6000000000.0
Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,Số dư tại ngày 31/12/2024,3.576.421.210.000,711.136.556.786,246.973.837.431,64.632.444.542,589.170.945.162,5.188.334.993.921,3576421210000.0,711136556786.0,246973837431.0,64632444542.0,589170945162.0,5188334993921.0
