row_label_raw,row_label_full,Nội dung,Từ ngày 09/07/2025đến ngày 31/12/2025VND,numeric__Từ ngày 09/07/2025đến ngày 31/12/2025VND
Nguồn thu từ khai thác tài sản KCHTHK,Nguồn thu từ khai thác tài sản KCHTHK,Nguồn thu từ khai thác tài sản KCHTHK,60.736.543.022,60736543022.0
"Doanh thu dịch vụ cắt, hạ cánh","Doanh thu dịch vụ cắt, hạ cánh","Doanh thu dịch vụ cắt, hạ cánh",61.817.524.851,61817524851.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,1.133.509.050,1133509050.0
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,60.684.015.801,60684015801.0
Lãi tiền gửi,Lãi tiền gửi,Lãi tiền gửi,52.527.221,52527221.0
Các khoản chi cho hoạt động khai thác tài sản KCHTHK,Các khoản chi cho hoạt động khai thác tài sản KCHTHK,Các khoản chi cho hoạt động khai thác tài sản KCHTHK,40.312.239.809,40312239809.0
Chi hoạt động,Chi hoạt động,Chi hoạt động,35.206.164.006,35206164006.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,1.887.543.699,1887543699.0
"Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng","Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng","Chi phí vật liệu, công cụ dụng cụ, đồ dùng văn phòng",90.542.012,90542012.0
Chi phí khấu hao tài sản cố định phân bổ,Chi phí khấu hao tài sản cố định phân bổ,Chi phí khấu hao tài sản cố định phân bổ,557.200.589,557200589.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",20.256.835,20256835.0
Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,Chi phí sửa chữa tài sản,27.568.401.256,27568401256.0
"Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc","Chi phí điện, nước, thông tin liên lạc",924.015.346,924015346.0
Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,Chi phí dịch vụ mua ngoài khác,3.425.964.256,3425964256.0
Chi phí phúc lợi người lao động,Chi phí phúc lợi người lao động,Chi phí phúc lợi người lao động,103.110.805,103110805.0
Chi phí bằng tiền khác,Chi phí bằng tiền khác,Chi phí bằng tiền khác,277.904.396,277904396.0
Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,Lỗ chênh lệch tỷ giá,351.224.812,351224812.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,5.106.075.803,5106075803.0
Chênh lệch còn lại (I - II),Chênh lệch còn lại (I - II),Chênh lệch còn lại (I - II),20.424.303.213,20424303213.0
