row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềmvi tínhTriệu đồng,TổngcộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềmvi tínhTriệu đồng,numeric__TổngcộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,2.330.906,518.454,2.849.360,2330906.0,518454.0,2849360.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.185,54.257,58.442,4185.0,54257.0,58442.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(9.380),-,(9.380),-9380.0,,-9380.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,2.325.711,572.711,2.898.422,2325711.0,572711.0,2898422.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,-,(305.186),(305.186),,-305186.0,-305186.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(44.780),(44.780),,-44780.0,-44780.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,-,(349.966),(349.966),,-349966.0,-349966.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,2.330.906,213.268,2.544.174,2330906.0,213268.0,2544174.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,2.325.711,222.745,2.548.456,2325711.0,222745.0,2548456.0
