row_label_raw,row_label_full,Trên 1 năm đến 5 năm,Tại ngày 31.12.2023VND > 44.472.239.641,Phát sinh trong năm > TăngVND > 57.949.897.335,Phát sinh trong năm > GiảmVND > 127.931.126.120,Phát sinh trong năm > Vay dài hạn đến hạn trảVND > 12.866.650.568,Tại ngày 01.01.2023VND > 127.320.118.994,numeric__Tại ngày 31.12.2023VND > 44.472.239.641,numeric__Phát sinh trong năm > TăngVND > 57.949.897.335,numeric__Phát sinh trong năm > GiảmVND > 127.931.126.120,numeric__Phát sinh trong năm > Vay dài hạn đến hạn trảVND > 12.866.650.568,numeric__Tại ngày 01.01.2023VND > 127.320.118.994
Bên liên quan,Bên liên quan,Bên liên quan,-,14.950.000.000,73.061.400.000,-,58.111.400.000,,14950000000.0,73061400000.0,,58111400000.0
Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,Công ty CP Đầu tư Hải Thạch B.O.T,-,-,58.111.400.000,-,58.111.400.000,,,58111400000.0,,58111400000.0
Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,Công ty Cổ phần Tập đoàn Đèo Cả,-,14.950.000.000,14.950.000.000,-,-,,14950000000.0,14950000000.0,,
Bên thứ ba,Bên thứ ba,Bên thứ ba,44.472.239.641,42.999.897.335,54.869.726.120,12.866.650.568,69.208.718.994,44472239641.0,42999897335.0,54869726120.0,12866650568.0,69208718994.0
Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,Công ty Cổ phần Đầu tư Hạ tầng Miền Bắc,-,-,44.000.000.000,-,44.000.000.000,,,44000000000.0,,44000000000.0
Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,Ngân hàng TMCP Tiên Phong,15.930.353.866,-,4.639.182.564,4.639.182.564,25.208.718.994,15930353866.0,,4639182564.0,4639182564.0,25208718994.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,13.895.000.000,18.935.000.000,1.260.000.000,3.780.000.000,-,13895000000.0,18935000000.0,1260000000.0,3780000000.0,
Ngân hàng TMCP Công Thương Việt Nam - CN Đà Nẵng,Ngân hàng TMCP Công Thương Việt Nam - CN Đà Nẵng,Ngân hàng TMCP Công Thương Việt Nam - CN Đà Nẵng,3.809.525.030,4.761.906.286,-,952.381.256,-,3809525030.0,4761906286.0,,952381256.0,
Công ty Cho thuê tài chính TNHH BIDV - Sumi Trust Chi nhánh Đà Nẵng,Công ty Cho thuê tài chính TNHH BIDV - Sumi Trust Chi nhánh Đà Nẵng,Công ty Cho thuê tài chính TNHH BIDV - Sumi Trust Chi nhánh Đà Nẵng,5.933.377.109,9.477.000.000,1.821.144.919,1.722.477.972,-,5933377109.0,9477000000.0,1821144919.0,1722477972.0,
Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,Công ty Cho thuê Tài chính TNHH MTV Quốc tế Chailease,4.903.983.636,9.825.991.049,3.149.398.637,1.772.608.776,-,4903983636.0,9825991049.0,3149398637.0,1772608776.0,
Trên 5 năm,Trên 5 năm,Trên 5 năm,19.235.513.955.110,-,-,417.265.000.000,19.652.778.955.110,19235513955110.0,,,417265000000.0,19652778955110.0
Bên thứ ba,Bên thứ ba,Bên thứ ba,19.235.513.955.110,-,-,417.265.000.000,19.652.778.955.110,19235513955110.0,,,417265000000.0,19652778955110.0
Ngân hàng TMCP Công Thương Việt Nam - CN Hà Nội,Ngân hàng TMCP Công Thương Việt Nam - CN Hà Nội,Ngân hàng TMCP Công Thương Việt Nam - CN Hà Nội,18.326.192.822.777,-,-,386.410.000.000,18.712.602.822.777,18326192822777.0,,,386410000000.0,18712602822777.0
Ngân hàng TMCP Việt Á - CN Hà Nội,Ngân hàng TMCP Việt Á - CN Hà Nội,Ngân hàng TMCP Việt Á - CN Hà Nội,909.321.132.333,-,-,30.855.000.000,940.176.132.333,909321132333.0,,,30855000000.0,940176132333.0
Cộng,Cộng,Cộng,19.279.986.194.751,57.949.897.335,127.931.126.120,430.131.650.568,19.780.099.074.104,19279986194751.0,57949897335.0,127931126120.0,430131650568.0,19780099074104.0
