row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,2.530.490.680.000,10.867.980.806,(580.000.000),21.538.709.553,321.959.695.083,2.884.277.065.442,2530490680000.0,10867980806.0,-580000000.0,21538709553.0,321959695083.0,2884277065442.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,471.436.180.000,-,-,-,(471.436.180.000),-,471436180000.0,,,,-471436180000.0,
Cổ tức đã công bố,Năm trước > Cổ tức đã công bố,Cổ tức đã công bố,-,-,-,-,(126.399.506.000),(126.399.506.000),,,,,-126399506000.0,-126399506000.0
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,,,
Chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo > Chương trình lựa chọn cho người lao động,Chương trình lựa chọn cho người lao động,30.000.000.000,-,-,-,(30.000.000.000),-,30000000000.0,,,,-30000000000.0,
Lợi nhuận thuần trong năm,Phát hành cổ phiếu theo > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,537.460.455.715,537.460.455.715,,,,,537460455715.0,537460455715.0
Thu hồi cổ phiếu đã phát hành theo Chương trình lựa chọn cho người lao động,Phát hành cổ phiếu theo > Thu hồi cổ phiếu đã phát hành theo Chương trình lựa chọn cho người lao động,Thu hồi cổ phiếu đã phát hành theo Chương trình lựa chọn cho người lao động,-,-,(1.920.560.000),-,1.920.560.000,-,,,-1920560000.0,,1920560000.0,
"Trích quỹ khen thưởng, phúc lợi","Phát hành cổ phiếu theo > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(27.728.847.452),(27.728.847.452),,,,,-27728847452.0,-27728847452.0
Số dư cuối năm,Phát hành cổ phiếu theo > Số dư cuối năm,Số dư cuối năm,3.031.926.860.000,10.867.980.806,(2.500.560.000),21.538.709.553,205.776.177.346,3.267.609.167.705,3031926860000.0,10867980806.0,-2500560000.0,21538709553.0,205776177346.0,3267609167705.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,3.031.926.860.000,10.867.980.806,(2.500.560.000),21.538.709.553,205.776.177.346,3.267.609.167.705,3031926860000.0,10867980806.0,-2500560000.0,21538709553.0,205776177346.0,3267609167705.0
Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,Phát hành cổ phiếu theo,,,,,,,,,,,,
Chương trình lựa chọn cho người lao động (*),Phát hành cổ phiếu theo > Chương trình lựa chọn cho người lao động (*),Chương trình lựa chọn cho người lao động (*),75.000.000.000,-,-,-,-,75.000.000.000,75000000000.0,,,,,75000000000.0
Cổ tức bằng cổ phiếu (**),Phát hành cổ phiếu theo > Cổ tức bằng cổ phiếu (**),Cổ tức bằng cổ phiếu (**),393.787.260.000,-,-,-,(393.787.260.000),-,393787260000.0,,,,-393787260000.0,
Lợi nhuận thuần trong năm,Phát hành cổ phiếu theo > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,931.441.400.299,931.441.400.299,,,,,931441400299.0,931441400299.0
Trích quỹ đầu tư phát triển,Phát hành cổ phiếu theo > Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,7.508.907.455,(7.508.907.455),-,,,,7508907455.0,-7508907455.0,
"Trích quỹ khen thưởng, phúc lợi","Phát hành cổ phiếu theo > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(32.704.871.467),(32.704.871.467),,,,,-32704871467.0,-32704871467.0
Số dư cuối năm,Phát hành cổ phiếu theo > Số dư cuối năm,Số dư cuối năm,3.500.714.120.000,10.867.980.806,(2.500.560.000),29.047.617.008,703.216.538.723,4.241.345.696.537,3500714120000.0,10867980806.0,-2500560000.0,29047617008.0,703216538723.0,4241345696537.0
