row_label_raw,row_label_full,col_0,Vốn cổ phần đã phát hành,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch tỷ giá hối doái,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích của cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần đã phát hành,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch tỷ giá hối doái,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của cổ đông không kiểm soát,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,34.309.140,33.996.368,7.235.206,(2.284.059),(11.784),52.845,3.119.758,44.171.115,120.588.589,34309140.0,33996368.0,7235206.0,-2284059.0,-11784.0,52845.0,3119758.0,44171115.0,120588589.0
- Tăng vốn trong năm (i),Năm nay > - Tăng vốn trong năm (i),- Tăng vốn trong năm (i),138.551,1.450.622,-,-,-,-,-,-,1.589.173,138551.0,1450622.0,,,,,,,1589173.0
- Lợi nhuận/(lỗ) thuần trong năm,Năm nay > - Lợi nhuận/(lỗ) thuần trong năm,- Lợi nhuận/(lỗ) thuần trong năm,-,-,-,-,-,-,5.464.627,(919.054),4.545.573,,,,,,,5464627.0,-919054.0,4545573.0
- Trích quỹ khác,Năm nay > - Trích quỹ khác,- Trích quỹ khác,-,-,-,-,-,15.000,(12.366),(2.634),-,,,,,,15000.0,-12366.0,-2634.0,
- Mua công ty con mới,Năm nay > - Mua công ty con mới,- Mua công ty con mới,-,-,-,-,-,-,-,(302.301),(302.301),,,,,,,,-302301.0,-302301.0
- Chuyển nhượng công ty con,Năm nay > - Chuyển nhượng công ty con,- Chuyển nhượng công ty con,-,-,-,-,-,-,-,(60.000),(60.000),,,,,,,,-60000.0,-60000.0
- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất kiểm soát (i),Năm nay > - Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất kiểm soát (i),- Thay đổi một phần lợi ích trong các công ty con hiện hữu không mất kiểm soát (i),-,(35.033),-,-,-,-,(4.212.374),1.280.432,(2.966.975),,-35033.0,,,,,-4212374.0,1280432.0,-2966975.0
- Góp vốn từ cổ đông không kiểm soát (ii),Năm nay > - Góp vốn từ cổ đông không kiểm soát (ii),- Góp vốn từ cổ đông không kiểm soát (ii),-,-,-,-,-,-,-,12.539.449,12.539.449,,,,,,,,12539449.0,12539449.0
- Thay đổi khác,Năm nay > - Thay đổi khác,- Thay đổi khác,-,-,-,-,(30.624),-,-,(50.169),(80.793),,,,,-30624.0,,,-50169.0,-80793.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,34.447.691,35.411.957,7.235.206,(2.284.059),(42.408),67.845,4.359.645,56.656.838,135.852.715,34447691.0,35411957.0,7235206.0,-2284059.0,-42408.0,67845.0,4359645.0,56656838.0,135852715.0
