row_label_raw,row_label_full,col_0,Xây lắp và hoạt động khác,"Đầu tư, kinh doanh BĐS",Dịch vụ thu phí đường bộ theo hình thức BOT,Dịch vụ thu phí tự động không dùng theo hình thức BOO,Đơn vị tính: VND Tổng,numeric__Xây lắp và hoạt động khác,"numeric__Đầu tư, kinh doanh BĐS",numeric__Dịch vụ thu phí đường bộ theo hình thức BOT,numeric__Dịch vụ thu phí tự động không dùng theo hình thức BOO,numeric__Đơn vị tính: VND Tổng
DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,DOANH THU,,,,,
Tổng doanh thu,DOANH THU > Tổng doanh thu,Tổng doanh thu,142.978.510.706,22.544.289.569,506.195.857.562,89.946.432.651,761.665.090.488,142978510706.0,22544289569.0,506195857562.0,89946432651.0,761665090488.0
Giảm trừ doanh thu,DOANH THU > Giảm trừ doanh thu,Giảm trừ doanh thu,1.554.625.176,9.585.389.825,,,11.140.015.001,1554625176.0,9585389825.0,,,11140015001.0
Doanh thu thuần,DOANH THU > Doanh thu thuần,Doanh thu thuần,144.533.135.882,32.129.679.394,506.195.857.562,89.946.432.651,772.805.105.489,144533135882.0,32129679394.0,506195857562.0,89946432651.0,772805105489.0
KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,KẾT QUẢ HOẠT ĐỘNG,,,,,
Kết quả bộ phận,KẾT QUẢ HOẠT ĐỘNG > Kết quả bộ phận,Kết quả bộ phận,11.532.136.927,(66.293.375.032),107.981.746.593,(300.244.005.321),(247.023.496.833),11532136927.0,-66293375032.0,107981746593.0,-300244005321.0,-247023496833.0
Thuế thu nhập doanh nghiệp,KẾT QUẢ HOẠT ĐỘNG > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.420.372.412,(11.344.310.628),4.343.204.276,-,(3.580.733.940),3420372412.0,-11344310628.0,4343204276.0,,-3580733940.0
Lợi nhuận trong năm,KẾT QUẢ HOẠT ĐỘNG > Lợi nhuận trong năm,Lợi nhuận trong năm,8.111.764.515,(54.949.064.404),103.638.542.317,(300.244.005.321),(243.442.762.893),8111764515.0,-54949064404.0,103638542317.0,-300244005321.0,-243442762893.0
