row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2018 VND,31/12/2017 VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2018 VND,numeric__31/12/2017 VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,15,1.469.369.844.175,335.209.877.603,,15.0,1469369844175.0,335209877603.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,16.755.979.976.142,16.303.630.227.401,,16.0,16755979976142.0,16303630227401.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,11.206.813.979.819,10.642.882.288.241,,,11206813979819.0,10642882288241.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,5.549.165.996.323,5.660.747.939.160,,,5549165996323.0,5660747939160.0
III,B > III,III,Tiền gửi của khách hàng,17,60.362.575.007.000,53.205.792.395.177,,17.0,60362575007000.0,53205792395177.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",18,2.554.086.683.211,2.645.465.792.367,,18.0,2554086683211.0,2645465792367.0
VI,B > VI,VI,Phát hành giấy tờ có giá,19,8.156.400.898.720,4.361.689.265.933,,19.0,8156400898720.0,4361689265933.0
VII,B > VII,VII,Các khoản nợ khác,,1.868.457.190.132,1.308.985.521.577,,,1868457190132.0,1308985521577.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,1.379.622.216.389,935.576.921.499,,,1379622216389.0,935576921499.0
3,B > 3,3,Các khoản phải trả và công nợ khác,20,488.834.973.743,373.408.600.078,,20.0,488834973743.0,373408600078.0
,,,TỔNG NỘ PHẢI TRẢ,,91.166.869.599.380,78.160.773.080.058,,,91166869599380.0,78160773080058.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,22,8.797.238.027.838,6.139.396.371.990,,22.0,8797238027838.0,6139396371990.0
1,B > 1,1,Vốn,,6.607.760.630.000,5.008.550.000.000,,,6607760630000.0,5008550000000.0
a,B > a,a,Vốn điều lệ,,6.599.210.630.000,5.000.000.000.000,,,6599210630000.0,5000000000000.0
c,B > c,c,Thặng dư vốn cổ phần,,98.800.000.000,98.800.000.000,,,98800000000.0,98800000000.0
d,B > d,d,Cổ phiếu quỹ,,(90.250.000.000),(90.250.000.000),,,-90250000000.0,-90250000000.0
2,B > 2,2,Các quỹ,,688.441.619.221,424.136.387.806,,,688441619221.0,424136387806.0
5,B > 5,5,Lợi nhuận chưa phân phối,,1.501.035.778.617,706.709.984.184,,,1501035778617.0,706709984184.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,8.797.238.027.838,6.139.396.371.990,,,8797238027838.0,6139396371990.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,99.964.107.627.218,84.300.169.452.048,,,99964107627218.0,84300169452048.0
