row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất (*),"Bản quyền, bằng sáng chế",Chương trình phần mềm,TSCĐ vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất (*),"numeric__Bản quyền, bằng sáng chế",numeric__Chương trình phần mềm,numeric__TSCĐ vô hình khác,numeric__Tổng cộng
Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,Nguyên giá TSCĐ vô hình,,,,,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ vô hình > Số dư đầu năm,Số dư đầu năm,19.257.558.796,7.217.666.013,18.070.143.729,367.576.900,44.912.945.438,19257558796.0,7217666013.0,18070143729.0,367576900.0,44912945438.0
- Mua trong năm,- Mua trong năm,- Mua trong năm,,,,,,,,,,
- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,,,,,,,,,,
- Tạo ra từ nội bộ Công ty,- Tạo ra từ nội bộ Công ty,- Tạo ra từ nội bộ Công ty,,,,,,,,,,
- Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,- Tăng do hợp nhất kinh doanh,,,,,,,,,,
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,,,,,,,
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,19.257.558.796,7.217.666.013,18.070.143.729,367.576.900,44.912.945.438,19257558796.0,7217666013.0,18070143729.0,367576900.0,44912945438.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.053.834.723,7.217.666.013,16.042.532.960,367.576.900,24.681.610.596,1053834723.0,7217666013.0,16042532960.0,367576900.0,24681610596.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,131.630.609,,406.636.225,,538.266.834,131630609.0,,406636225.0,,538266834.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,
"- Thanh lý, nhượng bán","- Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,,,,,,,,
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,
Số dư cuối năm,- Giảm khác > Số dư cuối năm,Số dư cuối năm,1.185.465.332,7.217.666.013,16.449.169.185,367.576.900,25.219.877.430,1185465332.0,7217666013.0,16449169185.0,367576900.0,25219877430.0
Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,Giá trị còn lại của TSCĐ vô hình,,,,,,,,,,
- Tại ngày đầu năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày đầu năm,- Tại ngày đầu năm,18.203.724.073,,2.027.610.769,,20.231.334.842,18203724073.0,,2027610769.0,,20231334842.0
- Tại ngày cuối năm,Giá trị còn lại của TSCĐ vô hình > - Tại ngày cuối năm,- Tại ngày cuối năm,18.072.093.464,,1.620.974.544,,19.693.068.008,18072093464.0,,1620974544.0,,19693068008.0
Đánh giá theo giá trị hợp lý,Đánh giá theo giá trị hợp lý,Đánh giá theo giá trị hợp lý,,,,,,,,,,
