row_label_raw,row_label_full,col_0,Công nghiệpdệt mayVND,"Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",Các hoạt độngkhácVND,Loại trừVND,Hợp nhấtVND,numeric__Công nghiệpdệt mayVND,"numeric__Xuất khẩu,nhập khẩu vàkinh doanhthương mạiVND",numeric__Các hoạt độngkhácVND,numeric__Loại trừVND,numeric__Hợp nhấtVND
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,,,,,
Tài sản của bộ phận,Tại ngày 31 tháng 12 năm 2023 > Tài sản của bộ phận,Tài sản của bộ phận,19.987.996.152.286,125.881.282.665,1.313.572.175.142,(5.255.623.417.570),16.171.826.192.523,19987996152286.0,125881282665.0,1313572175142.0,-5255623417570.0,16171826192523.0
Khoản đầu tư vào công ty liên kết,Tại ngày 31 tháng 12 năm 2023 > Khoản đầu tư vào công ty liên kết,Khoản đầu tư vào công ty liên kết,1.454.362.597.619,912.560.000,307.875.000,1.448.861.444.747,2.904.444.477.366,1454362597619.0,912560000.0,307875000.0,1448861444747.0,2904444477366.0
Tổng tài sản của bộ phận,Tại ngày 31 tháng 12 năm 2023 > Tổng tài sản của bộ phận,Tổng tài sản của bộ phận,21.442.358.749.905,126.793.842.665,1.313.880.050.142,(3.806.761.972.823),19.076.270.669.889,21442358749905.0,126793842665.0,1313880050142.0,-3806761972823.0,19076270669889.0
Tổng nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2023 > Tổng nợ phải trả của bộ phận,Tổng nợ phải trả của bộ phận,11.252.574.399.463,306.741.507.752,435.011.098.321,(2.059.970.189.837),9.934.356.815.699,11252574399463.0,306741507752.0,435011098321.0,-2059970189837.0,9934356815699.0
Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,Năm 2023,,,,,
Chi tiêu vốn,Năm 2023 > Chi tiêu vốn,Chi tiêu vốn,536.934.518.553,1.000.000.000,110.109.646.212,(134.656.856.631),513.387.308.134,536934518553.0,1000000000.0,110109646212.0,-134656856631.0,513387308134.0
Khấu hao tài sản cố định hữu hình,Năm 2023 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,702.204.650.007,1.801.155.357,37.083.723.828,(24.305.256.982),716.784.272.210,702204650007.0,1801155357.0,37083723828.0,-24305256982.0,716784272210.0
Khấu hao tài sản cố định hữu hìnhthuê tài chính,Năm 2023 > Khấu hao tài sản cố định hữu hìnhthuê tài chính,Khấu hao tài sản cố định hữu hìnhthuê tài chính,17.690.334.426,-,-,-,17.690.334.426,17690334426.0,,,,17690334426.0
Khấu hao tài sản cố định vô hình,Năm 2023 > Khấu hao tài sản cố định vô hình,Khấu hao tài sản cố định vô hình,2.715.491.384,-,75.714.288,-,2.791.205.672,2715491384.0,,75714288.0,,2791205672.0
Khấu hao bắt động sản đầu tư,Năm 2023 > Khấu hao bắt động sản đầu tư,Khấu hao bắt động sản đầu tư,8.522.010.907,215.220.096,7.903.106.299,-,16.640.337.302,8522010907.0,215220096.0,7903106299.0,,16640337302.0
