row_label_raw,row_label_full,TT,Tên công ty,Địa chỉ,Tỷ lệ lợi ích/quyền biểu quyết,Tỷ lệ cam kết góp,Hoạt động kinh doanh chính,numeric__Tên công ty,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích/quyền biểu quyết,numeric__Tỷ lệ cam kết góp,numeric__Hoạt động kinh doanh chính
9,9,9,Công ty TNHH MTV Xây lắp điện 1 - Ninh Bình,"Phường Ninh Thành, TP Ninh Bình, tỉnh Ninh Bình",100%,100%,Xây lắp điện,,,1.0,1.0,
10,10,10,Công ty TNHH Chế tạo Cột thép Đông Anh,"Tổ 23, thị trấn Đông Anh, thành phố Hà Nội",90%,90%,"Sản xuất các loại cột thép mạ kẽm, kết cấu thép, phụ tùng phụ kiện có liên quan, dịch vụ về mạ. mua bán thép, kẽm, vật tư phục vụ sản xuất, chế tạo kết cấu thép. mua bán vật tư, thiết bị kỹ thuật điện",,,0.9,0.9,
11,11,11,Công ty Cổ phần Thủy điện Trung Thu,"Số nhà 157, Tổ dân phố 16 phường Tân Thanh, Điện Biên Phù",60%,60%,Đầu tư xây dựng các nhà máy thủy điện vừa và nhỏ. Sản xuất và kinh doanh điện năng,,,0.6,0.6,
12,12,12,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Thôn Đình Thôn - Mỹ Đình 1 - Quận Nam Từ Liêm - Hà Nội,"99,39%","99,39%","Đầu tư, kinh doanh bất động sản",,,0.9939,0.9939,
13,13,13,Công ty Cổ phần Lắp máy Công nghiệp Việt Nam,"Số 138 Trần Bình, P Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",51%,51%,Lắp đặt máy móc và thiết bị công nghiệp,,,0.51,0.51,
14,14,14,Công ty Cổ phần Năng lượng Bảo Lâm,"Thôn Nà Pồng, Huyện Bảo Lâm, tỉnh Cao Bằng","99,90%","99,90%",Quản lý sau đầu tư thủy điện.,,,0.9990000000000001,0.9990000000000001,
15,15,15,Công ty Cổ phần Đầu tư Năng Lượng Miền Bắc,"Thôn Nà Pồng, Huyện Bảo Lâm, tỉnh Cao Bằng",51%,51%,Sản xuất và kinh doanh điện năng.,,,0.51,0.51,
16,16,16,Công ty Cổ phần Cơ khí Ô tô Hòa Bình,"Số 44 Phố Triều Khúc, P.Thanh Xuân Nam, Q.Thanh Xuân, Hà Nội","99,88%","99,88%",Đầu tư kinh doanh bất động sản,,,0.9987999999999999,0.9987999999999999,
17,17,17,Công ty Cổ phần Đầu tư Thương mại Tiến Bộ,"Số 1, Ngõ 321 Phố Vĩnh Hưng, P.Thanh Trì, Q.Hoàng Mai, Hà Nội","99,95%","99,95%",Đầu tư kinh doanh bất động sản,,,0.9995,0.9995,
18,18,18,Công ty Cổ phần điện gió Liên Lập,"Thôn Của, xã Hướng Tân, huyện Hương Hóa, tỉnh Quảng Trị","55,54%","55,54%",Sản xuất điện tử năng lượng gió,,,0.5554,0.5554,
19,19,19,Công ty Cổ phần điện gió Phong Nguyên (mua ngày 13/02/2020),"Thôn Của, xã Hướng Tân, huyện Hương Hóa, tỉnh Quảng Trị","54,73%","54,73%",Sản xuất điện tử năng lượng gió,,,0.5473,0.5473,
20,20,20,Công ty Cổ phần điện gió Phong Huy (mua ngày 13/02/2020),"Thôn Của, xã Hướng Tân, huyện Hương Hóa, tỉnh Quảng Trị","54,70%","54,70%",Sản xuất điện tử năng lượng gió,,,0.547,0.547,
21,21,21,Công ty CP Đầu tư và Dịch vụ Công nghệ,"Tầng 2, toà nhà PCC1 Thanh Xuân, Số 44 Triều Khúc, Phường Thanh Xuân Nam, TP Hà Nội",51%,51%,Cung cấp vật tư thiết bị và cấu hình hệ thống điện,,,0.51,0.51,
