row_label_raw,row_label_full,col_0,31/12/2016 > Giá trịVND,31/12/2016 > Số có khả năng trả nợVND,Trong năm > TăngVND,Trong năm > GiảmVND,01/01/2016 > Giá trịVND,01/01/2016 > Số có khả năng trả nợVND,numeric__31/12/2016 > Giá trịVND,numeric__31/12/2016 > Số có khả năng trả nợVND,numeric__Trong năm > TăngVND,numeric__Trong năm > GiảmVND,numeric__01/01/2016 > Giá trịVND,numeric__01/01/2016 > Số có khả năng trả nợVND
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,288.407.348.038,288.407.348.038,186.180.733.424,54.036.046.652,156.262.661.266,156.262.661.266,288407348038.0,288407348038.0,186180733424.0,54036046652.0,156262661266.0,156262661266.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hải Dương (i),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hải Dương (i),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hải Dương (i),120.300.000.000,120.300.000.000,68.000.000.000,14.000.000.000,66.300.000.000,66.300.000.000,120300000000.0,120300000000.0,68000000000.0,14000000000.0,66300000000.0,66300000000.0
- Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hải Dương (ii),- Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hải Dương (ii),- Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Hải Dương (ii),79.697.035.106,79.697.035.106,69.899.662.224,9.473.966.932,19.271.339.814,19.271.339.814,79697035106.0,79697035106.0,69899662224.0,9473966932.0,19271339814.0,19271339814.0
- Ngân hàng TMCP Xăng dầu Petrolimex - Chi nhánh Hải Dương (iii),- Ngân hàng TMCP Xăng dầu Petrolimex - Chi nhánh Hải Dương (iii),- Ngân hàng TMCP Xăng dầu Petrolimex - Chi nhánh Hải Dương (iii),51.599.241.732,51.599.241.732,12.009.000.000,26.407.454.720,65.997.696.452,65.997.696.452,51599241732.0,51599241732.0,12009000000.0,26407454720.0,65997696452.0,65997696452.0
- Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hải Dương (iv),- Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hải Dương (iv),- Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Hải Dương (iv),27.385.000.000,27.385.000.000,26.846.000.000,4.154.625.000,4.693.625.000,4.693.625.000,27385000000.0,27385000000.0,26846000000.0,4154625000.0,4693625000.0,4693625000.0
- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 1 (v),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 1 (v),- Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 1 (v),9.426.071.200,9.426.071.200,9.426.071.200,-,-,-,9426071200.0,9426071200.0,9426071200.0,,,
Vay cá nhân (vi),Vay cá nhân (vi),Vay cá nhân (vi),92.606.640.000,92.606.640.000,92.606.640.000,-,-,-,92606640000.0,92606640000.0,92606640000.0,,,
- Nguyễn Thế Hiếu,- Nguyễn Thế Hiếu,- Nguyễn Thế Hiếu,52.000.000.000,52.000.000.000,52.000.000.000,-,-,-,52000000000.0,52000000000.0,52000000000.0,,,
- Các cá nhân khác,- Các cá nhân khác,- Các cá nhân khác,40.606.640.000,40.606.640.000,40.606.640.000,-,-,-,40606640000.0,40606640000.0,40606640000.0,,,
Trái phiếu phát hành (vii),Trái phiếu phát hành (vii),Trái phiếu phát hành (vii),446.562.500.000,446.562.500.000,151.125.000.000,1.500.000.000,296.937.500.000,296.937.500.000,446562500000.0,446562500000.0,151125000000.0,1500000000.0,296937500000.0,296937500000.0
Cộng,Cộng,Cộng,827.576.488.038,827.576.488.038,429.912.373.424,55.536.046.652,453.200.161.266,453.200.161.266,827576488038.0,827576488038.0,429912373424.0,55536046652.0,453200161266.0,453200161266.0
