row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,Nguyên giá TSCĐ:,,,,
Số dư đầu năm,Nguyên giá TSCĐ: > Số dư đầu năm,Số dư đầu năm,3.880,314.645,7.245,325.770,3880.0,314645.0,7245.0,325770.0
Mua trong năm,Nguyên giá TSCĐ: > Mua trong năm,Mua trong năm,328,15.811,-,16.139,328.0,15811.0,,16139.0
"Thanh lý, nhượng bán","Nguyên giá TSCĐ: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.616),-,-,(2.616),-2616.0,,,-2616.0
Số dư cuối năm,Nguyên giá TSCĐ: > Số dư cuối năm,Số dư cuối năm,1.592,330.456,7.245,339.293,1592.0,330456.0,7245.0,339293.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế: > Số dư đầu năm,Số dư đầu năm,-,163.668,6.364,170.032,,163668.0,6364.0,170032.0
Khấu hao trong năm,Giá trị hao mòn lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,31.553,813,32.366,,31553.0,813.0,32366.0
Số dư cuối năm,Giá trị hao mòn lũy kế: > Số dư cuối năm,Số dư cuối năm,-,195.221,7.177,202.398,,195221.0,7177.0,202398.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,3.880,150.977,881,155.738,3880.0,150977.0,881.0,155738.0
Số dư cuối năm,Giá trị còn lại: > Số dư cuối năm,Số dư cuối năm,1.592,135.235,68,136.895,1592.0,135235.0,68.0,136895.0
