row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2019 triệu đồng,31/12/2018 triệu đồng,numeric__Thuyết minh,numeric__31/12/2019 triệu đồng,numeric__31/12/2018 triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,1.159.602,1.098.117,5.0,1159602.0,1098117.0
Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),Tiền gửi tại Ngân hàng Nhà nước (“NHNN”),6,19.040.311,2.473.941,6.0,19040311.0,2473941.0
Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,Tiền gửi tại và cho vay các tổ chức tín dụng (“TCTD”) khác,7,4.011.859,8.415.605,7.0,4011859.0,8415605.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,2.873.059,7.723.631,71.0,2873059.0,7723631.0
Cho vay các TCTD khác,TÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,7.2,1.138.800,691.974,72.0,1138800.0,691974.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,127.914.086,95.260.970,,127914086.0,95260970.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,8,129.199.808,96.138.735,8.0,129199808.0,96138735.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,9,(1.285.722),(877.765),9.0,-1285722.0,-877765.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,10,326.301,418.273,10.0,326301.0,418273.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,326.572,419.171,,326572.0,419171.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(271),(898),,-271.0,-898.0
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,11,27.841.993,28.577.760,11.0,27841993.0,28577760.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,11.1,27.882.169,28.676.423,111.0,27882169.0,28676423.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,11.2,42.380,42.380,112.0,42380.0,42380.0
Dự phòng rủi ro chứng khoán đầu tư,TÀI SẢN > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,11.3,(82.556),(141.043),113.0,-82556.0,-141043.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",12,105.805,114.799,12.0,105805.0,114799.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,185.272,185.274,,185272.0,185274.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(79.467),(70.475),,-79467.0,-70475.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,13,365.109,350.758,13.0,365109.0,350758.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,13.1,228.214,195.020,131.0,228214.0,195020.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,659.129,581.930,,659129.0,581930.0
Khẩu hao tài sản cố định,TÀI SẢN > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(430.915),(386.910),,-430915.0,-386910.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,13.2,136.895,155.738,132.0,136895.0,155738.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,339.293,325.770,,339293.0,325770.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(202.398),(170.032),,-202398.0,-170032.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,14,3.766.419,2.455.993,14.0,3766419.0,2455993.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,,1.637.835,611.478,,1637835.0,611478.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,1.495.992,1.404.848,,1495992.0,1404848.0
Tài sản thuế thu nhập hoãn lại,TÀI SẢN > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,162,127,,162.0,127.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,,632.430,439.540,,632430.0,439540.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,184.531.485,139.166.216,,184531485.0,139166216.0
