row_label_raw,row_label_full,col_0,Chức danh,Năm 2023Triệu đồng,Năm 2022Triệu đồng,numeric__Chức danh,numeric__Năm 2023Triệu đồng,numeric__Năm 2022Triệu đồng
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,,
Thù lao,Thù lao,Thù lao,Thù lao,Thù lao,Thù lao,,,
Ông Ngô Chí Dũng,Thù lao > Ông Ngô Chí Dũng,Ông Ngô Chí Dũng,Chủ tịch,(3.360),(3.360),,-3360.0,-3360.0
Ông Bùi Hải Quân,Thù lao > Ông Bùi Hải Quân,Ông Bùi Hải Quân,Phó Chủ tịch,(3.120),(3.120),,-3120.0,-3120.0
Ông Lô Bằng Giang,Thù lao > Ông Lô Bằng Giang,Ông Lô Bằng Giang,Phó Chủ tịch,(3.120),(3.120),,-3120.0,-3120.0
Ông Nguyễn Đức Vinh,Ông Nguyễn Đức Vinh,Ông Nguyễn Đức Vinh,Thành viên,-,-,,,
Ông Nguyễn Văn Phúc,Ông Nguyễn Đức Vinh > Ông Nguyễn Văn Phúc,Ông Nguyễn Văn Phúc,Thành viên độc lập,(1.200),(1.200),,-1200.0,-1200.0
Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,Thành viên Ban kiểm soát,,,
"Thù lao, tiền lương và phụ cấp","Thành viên Ban kiểm soát > Thù lao, tiền lương và phụ cấp","Thù lao, tiền lương và phụ cấp",Ban Kiểm soát,(6.010),(7.928),,-6010.0,-7928.0
Tổng giám đốc và Thành viên Ban Tổng giám đốc,Tổng giám đốc và Thành viên Ban Tổng giám đốc,Tổng giám đốc và Thành viên Ban Tổng giám đốc,Tổng giám đốc và Thành viên Ban Tổng giám đốc,Tổng giám đốc và Thành viên Ban Tổng giám đốc,Tổng giám đốc và Thành viên Ban Tổng giám đốc,,,
Tiền lương và phụ cấp,Tổng giám đốc và Thành viên Ban Tổng giám đốc > Tiền lương và phụ cấp,Tiền lương và phụ cấp,Ban Tổng giám đốc,(57.428),(57.747),,-57428.0,-57747.0
