row_label_raw,row_label_full,"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_1","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_2","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_3","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_4","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_5","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_6","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_1","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_2","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_3","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_4","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_5","numeric__Ngân hàng Thương mại Cổ phần Sài Gòn - Hà NộiSố 77 Trần Hưng Đạo, Quận Hoàn Kiểm, Hà Nội, Việt NamThuyết minh báo cáo tài chính hợp nhất cho năm kết thúc ngày 31 tháng 12 năm 2016(tiếp theo)_6"
,,,Nhà cửa vàvật kiến trúcTriệu VND,Máy mócthiết bịTriệu VND,Phương tiệnvận tảiTriệu VND,Thiết bịvăn phòngTriệu VND,Các tài sảncó địnhhữu hình khácTriệu VND,Tổng cộngTriệu VND,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Nguyên giá > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,202.342,296.991,169.702,84.808,24.519,778.362,202342.0,296991.0,169702.0,84808.0,24519.0,778362.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,31.594,17.847,5.621,2.718,2.931,60.711,31594.0,17847.0,5621.0,2718.0,2931.0,60711.0
"Tăng do hoàn thành, mua sắm TSCĐ","Nguyên giá > Tăng do hoàn thành, mua sắm TSCĐ","Tăng do hoàn thành, mua sắm TSCĐ",146,5.978,-,63,-,6.187,146.0,5978.0,,63.0,,6187.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(166),(27.107),(2.215),(1.271),(2.110),(32.869),-166.0,-27107.0,-2215.0,-1271.0,-2110.0,-32869.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,639,116,85,132,-,972,639.0,116.0,85.0,132.0,,972.0
Số dư tại ngày 31 tháng 12 năm 2015,Nguyên giá > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,234.555,293.825,173.193,86.450,25.340,813.363,234555.0,293825.0,173193.0,86450.0,25340.0,813363.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Hao mòn lũy kế > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,49.477,177.643,85.821,63.940,17.575,394.456,49477.0,177643.0,85821.0,63940.0,17575.0,394456.0
Khấu hao trong năm,Hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,17.037,40.282,19.201,10.702,2.367,89.589,17037.0,40282.0,19201.0,10702.0,2367.0,89589.0
"Thanh lý, nhượng bán","Hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(95),(26.525),(2.098),(1.272),(2.018),(32.008),-95.0,-26525.0,-2098.0,-1272.0,-2018.0,-32008.0
Chênh lệch tỷ giá,Hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,141,58,37,72,-,308,141.0,58.0,37.0,72.0,,308.0
Số dư tại ngày 31 tháng 12 năm 2015,Hao mòn lũy kế > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,66.560,191.458,102.961,73.442,17.924,452.345,66560.0,191458.0,102961.0,73442.0,17924.0,452345.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư tại ngày 1 tháng 1 năm 2015,Giá trị còn lại > Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,152.865,119.348,83.881,20.868,6.944,383.906,152865.0,119348.0,83881.0,20868.0,6944.0,383906.0
Số dư tại ngày 31 tháng 12 năm 2015,Giá trị còn lại > Số dư tại ngày 31 tháng 12 năm 2015,Số dư tại ngày 31 tháng 12 năm 2015,167.995,102.367,70.232,13.008,7.416,361.018,167995.0,102367.0,70232.0,13008.0,7416.0,361018.0
