row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2022,Tài sản tại ngày 31 tháng 12 năm 2022,Tài sản tại ngày 31 tháng 12 năm 2022,181.875.741,236.741,182.112.482,181875741.0,236741.0,182112482.0
Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,23.668.786,236.741,23.905.527,23668786.0,236741.0,23905527.0
Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,119.538.340,-,119.538.340,119538340.0,,119538340.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),12.237.108,-,12.237.108,12237108.0,,12237108.0
Chứng khoán kinh doanhvà chứng khoán đầu tư - gộp,Chứng khoán kinh doanhvà chứng khoán đầu tư - gộp,Chứng khoán kinh doanhvà chứng khoán đầu tư - gộp,26.346.187,-,26.346.187,26346187.0,,26346187.0
"Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",85.320,-,85.320,85320.0,,85320.0
Công nợ tại ngày 31 tháng 12 năm 2022,Công nợ tại ngày 31 tháng 12 năm 2022,Công nợ tại ngày 31 tháng 12 năm 2022,157.724.420,1.947.844,159.672.264,157724420.0,1947844.0,159672264.0
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,20.344.192,999.844,21.344.036,20344192.0,999844.0,21344036.0
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,124.993.335,-,124.993.335,124993335.0,,124993335.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",3.230,948.000,951.230,3230.0,948000.0,951230.0
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,12.383.663,-,12.383.663,12383663.0,,12383663.0
Cam kết ngoại bằng tạingày 31 tháng 12 năm 2022,Cam kết ngoại bằng tạingày 31 tháng 12 năm 2022,Cam kết ngoại bằng tạingày 31 tháng 12 năm 2022,26.755.977,-,26.755.977,26755977.0,,26755977.0
