row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,23.288.184,46.983,(1.954.258),(53.137),12.064.570,32.348,33.424.690,23288184.0,46983.0,-1954258.0,-53137.0,12064570.0,32348.0,33424690.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,4.408.600,208,4.408.808,,,,,4408600.0,208.0,4408808.0
Thay đổi khác,Thay đổi khác,Thay đổi khác,-,-,-,-,2.618,(9.263),(6.645),,,,,2618.0,-9263.0,-6645.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,23.288.184,46.983,(1.954.258),(53.137),16.475.788,23.293,37.826.853,23288184.0,46983.0,-1954258.0,-53137.0,16475788.0,23293.0,37826853.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,23.288.184,46.983,(1.954.258),(53.137),16.475.788,23.293,37.826.853,23288184.0,46983.0,-1954258.0,-53137.0,16475788.0,23293.0,37826853.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,4.095.780,-,4.095.780,,,,,4095780.0,,4095780.0
Thành lập công ty con,Thành lập công ty con,Thành lập công ty con,-,-,-,-,-,362,362,,,,,,362.0,362.0
Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,Mua thêm lợi ích từ cổ đông không kiểm soát,-,-,-,-,538,(890),(352),,,,,538.0,-890.0,-352.0
Giải thể công ty con trong năm,Giải thể công ty con trong năm,Giải thể công ty con trong năm,-,-,-,-,-,(2),(2),,,,,,-2.0,-2.0
Thay đổi khác,Thay đổi khác,Thay đổi khác,-,-,-,-,22.401,(22.401),-,,,,,22401.0,-22401.0,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,23.288.184,46.983,(1.954.258),(53.137),20.594.507,362,41.922.641,23288184.0,46983.0,-1954258.0,-53137.0,20594507.0,362.0,41922641.0
