row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý
Cổ phiếu vàchủng khoảnkhác niêm yết (1),Cổ phiếu vàchủng khoảnkhác niêm yết (1),Cổ phiếu vàchủng khoảnkhác niêm yết (1),1.509.746.467.717,1.546.091.942.060,1.672.963.319.466,1.447.285.043.650,1509746467717.0,1546091942060.0,1672963319466.0,1447285043650.0
HPG,HPG,HPG,95.660.359.949,103.497.375.450,179.508.676.258,183.250.791.000,95660359949.0,103497375450.0,179508676258.0,183250791000.0
FPT,FPT,FPT,73.847.343.900,79.197.605.100,159.446.563.013,178.218.144.500,73847343900.0,79197605100.0,159446563013.0,178218144500.0
ELC,ELC,ELC,87.623.997.200,37.700.705.870,191.238.144.589,52.962.725.140,87623997200.0,37700705870.0,191238144589.0,52962725140.0
PLX,PLX,PLX,88.242.019.220,93.835.942.200,370.076.019.330,341.475.456.000,88242019220.0,93835942200.0,370076019330.0,341475456000.0
TDM,TDM,TDM,62.363.706.603,59.603.855.000,57.128.699.880,46.585.619.000,62363706603.0,59603855000.0,57128699880.0,46585619000.0
MWG,MWG,MWG,32.119.701.765,32.753.739.700,2.769.525.621,2.707.386.000,32119701765.0,32753739700.0,2769525621.0,2707386000.0
OPC,OPC,OPC,169.857.155.480,203.169.116.500,163.914.646.949,157.071.600.000,169857155480.0,203169116500.0,163914646949.0,157071600000.0
Cổ phiếu và chứngkhoán niêm yết khác,Cổ phiếu và chứngkhoán niêm yết khác,Cổ phiếu và chứngkhoán niêm yết khác,900.032.183.600,936.333.602.240,548.881.043.826,485.013.322.010,900032183600.0,936333602240.0,548881043826.0,485013322010.0
Cổ phiếu niêm yếtcho hoạt độngphòng ngửa rủi rocủa chứng quyền,Cổ phiếu niêm yếtcho hoạt độngphòng ngửa rủi rocủa chứng quyền,Cổ phiếu niêm yếtcho hoạt độngphòng ngửa rủi rocủa chứng quyền,497.988.719.529,525.040.743.600,147.825.259.973,148.166.359.500,497988719529.0,525040743600.0,147825259973.0,148166359500.0
HPG,HPG,HPG,119.366.528.685,129.145.682.100,18.404.132.189,18.814.335.000,119366528685.0,129145682100.0,18404132189.0,18814335000.0
FPT,FPT,FPT,23.445.299.072,25.143.917.700,25.783.439.996,28.818.914.300,23445299072.0,25143917700.0,25783439996.0,28818914300.0
VHM,VHM,VHM,73.445.353.414,78.661.550.000,15.560.689.439,15.196.160.000,73445353414.0,78661550000.0,15560689439.0,15196160000.0
MBB,MBB,MBB,40.205.038.732,41.310.001.000,24.218.098.386,23.022.979.200,40205038732.0,41310001000.0,24218098386.0,23022979200.0
STB,STB,STB,56.953.396.377,59.450.144.000,-,-,56953396377.0,59450144000.0,,
Cổ phiếu khác,Cổ phiếu khác,Cổ phiếu khác,184.573.103.249,191.329.448.800,63.858.899.963,62.313.971.000,184573103249.0,191329448800.0,63858899963.0,62313971000.0
Cổ phiếu và chứngchỉ quỹ (CCQ)chưa niêm yết,Cổ phiếu và chứngchỉ quỹ (CCQ)chưa niêm yết,Cổ phiếu và chứngchỉ quỹ (CCQ)chưa niêm yết,54.082.228.373,34.525.310.285,399.114.275.313,386.642.357.221,54082228373.0,34525310285.0,399114275313.0,386642357221.0
CCQ SSIBF,CCQ SSIBF,CCQ SSIBF,-,-,40.000.000.000,47.085.000.000,,,40000000000.0,47085000000.0
Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,Cổ phiếu churaniêm yết,54.082.228.373,34.525.310.285,359.114.275.313,339.557.357.221,54082228373.0,34525310285.0,359114275313.0,339557357221.0
Trải phiếu churaniêm yết (2),Trải phiếu churaniêm yết (2),Trải phiếu churaniêm yết (2),2.282.847.114.683,2.282.847.114.683,791.847.533.546,791.847.533.546,2282847114683.0,2282847114683.0,791847533546.0,791847533546.0
Chứng chỉ tiềngửi (3),Chứng chỉ tiềngửi (3),Chứng chỉ tiềngửi (3),8.863.948.398.453,8.863.948.398.453,1.541.303.479.150,1.541.303.479.150,8863948398453.0,8863948398453.0,1541303479150.0,1541303479150.0
Tổng cộng,Tổng cộng,Tổng cộng,13.208.612.928.755,13.252.453.509.081,4.553.053.867.448,4.315.244.773.067,13208612928755.0,13252453509081.0,4553053867448.0,4315244773067.0
