row_label_raw,row_label_full,Sht,Tên công ty con,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Hoạt động kinh doanh chính,numeric__Tên công ty con,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ quyền biểu quyết,numeric__Hoạt động kinh doanh chính
25,25,25,Công ty Cổ phần Thủy điện Geruco Sông Côn,"Thôn Ngật, xã Jơ Ngày, huyện Đông Giang, tỉnh Quảng Nam","77,25%","83,57%","Đầu tư xây dựng, quản lý vận hành, sản xuất kinh doanh điện năng; Xây dựng các công trình dân dụng, thủy lợi, thủy điện, giao thông đường bộ, sân bay, bến cảng, cầu cống, các công trình kỹ thuật hạ tầng các khu đô thị và khu công nghiệp",,,0.7725,0.8356999999999999,
26,26,26,Công ty Cổ phần VRG Bảo Lộc,"263 Hoàng Văn Thụ, Phường 1, TP. Bảo Lộc, tỉnh Lâm Đồng","80,93%","80,93%","Sản xuất kinh doanh thủy điện; Xây dựng các công trình công nghiệp, giao thông, thủy lợi, thủy điện",,,0.8093,0.8093,
27,27,27,Công ty Cổ phần VRG Đắk Nông,"Phường Nghĩa Thành, TX. Gia Nghĩa, tỉnh Đắk Nông","91,34%","98,30%","Đầu tư xây dựng, quản lý vận hành và kinh doanh điện thương phẩm các nhà máy thủy điện; Đầu tư trồng, chăm sóc, khai thác và chế biến cao su, các loại cây công nghiệp khác và trồng rừng",,,0.9134,0.983,
28,28,28,Công ty Cổ phần Công nghiệp và XNK Cao su,"64 Trường Định, Phường 7, Quận 3, TP. Hồ Chí Minh","82,44%","82,44%","Công nghiệp chế biến sản phẩm từ cây cao su. Gia công, sản xuất, mua bán giày thể thao xuất khẩu. Mua bán cao su và sản phẩm cao su",,,0.8244,0.8244,
29,29,29,Công ty Cổ phần Thế thao Ngôi Sao Geru,"1/1 Tân Kỳ Tân Quý, P. Sơn Kỳ, Q. Tân Phú, TP. Hồ Chí Minh","83,09%","92,11%",Chuyên sản xuất và kinh doanh các sản phẩm dụng cụ thể thao; Mua bán cao su;Nhập khẩu các loại vật tư nguyên liệu phục vụ cho sản xuất dụng cụ thể thao.,,,0.8309000000000001,0.9211,
30,30,30,Công ty Cổ phần gỗ MDF VRG Quảng Trị,"KCN Nam Đông Hà, phường Đông Lương, TP. Đông Hà, tỉnh Quảng Trị","97,32%","97,41%","Sản xuất và kinh doanh xuất nhập khẩu gỗ ván nhân tạo MDF, Okal; Trồng, mua bán và khai thác nguyên liệu để sản xuất gỗ MDF, giấy và cây công nghiệp khác",,,0.9732,0.9741,
31,31,31,Công ty Cổ phần Cao su Phước Hòa,"Huyện Phú Giáo, tỉnh Bình Dương","66,62%","66,62%",Trồng cây cao su; Khai thác và chế biến mù cao su; Thu mua mù nguyên liệu; Bán lẻ xăng dầu; Mua bán và chế biến gỗ cao su,,,0.6662,0.6662,
32,32,32,Công ty Cổ phần Cao su Việt Lào,"207 Nguyễn Văn Trỗi, phường 10, quận Phú Nhuận, TP. Hồ Chí Minh","89,28%","100,00%","Khai hoang, trồng rừng, chăm sóc, khai thác và chế biến mù cao su (không kinh doanh tại TP. Hồ Chí Minh); Mua bán nguyên liệu cao su, khai thác gỗ (không hoạt động tại trụ sở)",,,0.8928,1.0,
33,33,33,Công ty Cổ phần Cao su Hòa Bình,"Áp 7, xã Hòa Bình, huyện Xuyên Mộc, tỉnh Bà Rịa, Vũng Tàu","55,06%","55,06%","Trồng, chăm sóc, khai thác; sơ chế cao su thiên nhiên",,,0.5506,0.5506,
