row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2023 VND,Năm 2022 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2023 VND,numeric__Năm 2022 VND
Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính,,,,
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,-,-,31.0,,,
"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","Lưu chuyển tiền từ hoạt động tài chính > Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,-,-,32.0,,,
Tiền thu từ đi vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền thu từ đi vay,Tiền thu từ đi vay,33,,-,127.729.961.600,33.0,,,127729961600.0
Tiền trả nợ gốc vay,Lưu chuyển tiền từ hoạt động tài chính > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,,(30.841.150.161),(1.077.457.253.865),34.0,,-30841150161.0,-1077457253865.0
Tiền chi trả nợ gốc thuê tài chính,Lưu chuyển tiền từ hoạt động tài chính > Tiền chi trả nợ gốc thuê tài chính,Tiền chi trả nợ gốc thuê tài chính,35,,-,-,35.0,,,
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Lưu chuyển tiền từ hoạt động tài chính > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(449.469.600.000),(125.851.603.360),36.0,,-449469600000.0,-125851603360.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(480.310.750.161),(1.075.578.895.625),40.0,,-480310750161.0,-1075578895625.0
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền từ hoạt động tài chính > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,,714.792.768.232,(159.750.669.574),50.0,,714792768232.0,-159750669574.0
Tiền và tương đương tiền đầu năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,4,127.944.063.243,287.329.109.189,60.0,4.0,127944063243.0,287329109189.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Lưu chuyển tiền từ hoạt động tài chính > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,1.173.013.188,365.623.628,61.0,,1173013188.0,365623628.0
Tiền và tương đương tiền cuối năm,Lưu chuyển tiền từ hoạt động tài chính > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,4,843.909.844.663,127.944.063.243,70.0,4.0,843909844663.0,127944063243.0
