row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2016,Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2016,Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2016,Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2016,Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2016,numeric__Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2016,numeric__Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2016,numeric__Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2016
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt vàng bạc, đá quỹ","Tài sản > Tiền mặt vàng bạc, đá quỹ","Tiền mặt vàng bạc, đá quỹ",-,-,3.541.348,-,-,-,-,3.541.348,,,3541348.0,,,,,3541348.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,5.119.306,-,-,-,-,5.119.306,,,5119306.0,,,,,5119306.0
Tiền gửi tại và cho vay các TCTD khác (i),Tài sản > Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),525.000,-,6.017.799,1.504.328,316.971,349.763,52.000,8.765.861,525000.0,,6017799.0,1504328.0,316971.0,349763.0,52000.0,8765861.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,-,720.577,-,-,-,-,720.577,,,720577.0,,,,,720577.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,16.065,-,-,-,-,16.065,,,16065.0,,,,,16065.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),2.754.418,418.504,6.884.731,16.278.694,52.071.906,25.639.323,56.981.662,161.029.238,2754418.0,418504.0,6884731.0,16278694.0,52071906.0,25639323.0,56981662.0,161029238.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,-,1.115.794,1.517.491,1.056.239,36.844.330,5.080.654,45.614.508,,,1115794.0,1517491.0,1056239.0,36844330.0,5080654.0,45614508.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,-,-,-,-,-,2.340.737,2.340.737,,,,,,,2340737.0,2340737.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,2.769.593,2.769.593,,,,,,,2769593.0,2769593.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),994.734,95.609,5.732.465,7.448,520.048,1.204.982,-,8.555.286,994734.0,95609.0,5732465.0,7448.0,520048.0,1204982.0,,8555286.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.274.152,514.113,29.148.085,19.307.961,53.965.164,64.038.398,67.224.646,238.472.519,4274152.0,514113.0,29148085.0,19307961.0,53965164.0,64038398.0,67224646.0,238472519.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,1.644.311,230.176,304.029,67.121,8.210,2.253.847,,,1644311.0,230176.0,304029.0,67121.0,8210.0,2253847.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,70.411.929,35.922.679,61.623.415,39.131.901,257.089,207.347.013,,,70411929.0,35922679.0,61623415.0,39131901.0,257089.0,207347013.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,56,10.127,27.609,58.283,26.622,122.697,,,56.0,10127.0,27609.0,58283.0,26622.0,122697.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,5.000.000,1.054.000,6.054.000,,,,,,5000000.0,1054000.0,6054000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,3.521.648,-,-,-,-,3.521.648,,,3521648.0,,,,,3521648.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,75.577.944,36.162.982,61.955.053,44.257.305,1.345.921,219.299.205,,,75577944.0,36162982.0,61955053.0,44257305.0,1345921.0,219299205.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,4.274.152,514.113,(46.429.859),(16.855.021),(7.989.889),19.781.093,65.878.725,19.173.314,4274152.0,514113.0,-46429859.0,-16855021.0,-7989889.0,19781093.0,65878725.0,19173314.0
