row_label_raw,row_label_full,Enterprise Registration Certificate No.,"0300583659 > The Company's Enterprise Registration Certificate (""ERC"") has been amended several times, of which the most recent one is ERC No. 0300583659 dated 18 May 2020. The Enterprise Registration Certificate and its updates were issued by the Ho Chi Minh City Department of Planning and Investment.","29 February 2012 > The Company's Enterprise Registration Certificate (""ERC"") has been amended several times, of which the most recent one is ERC No. 0300583659 dated 18 May 2020. The Enterprise Registration Certificate and its updates were issued by the Ho Chi Minh City Department of Planning and Investment.","numeric__0300583659 > The Company's Enterprise Registration Certificate (""ERC"") has been amended several times, of which the most recent one is ERC No. 0300583659 dated 18 May 2020. The Enterprise Registration Certificate and its updates were issued by the Ho Chi Minh City Department of Planning and Investment.","numeric__29 February 2012 > The Company's Enterprise Registration Certificate (""ERC"") has been amended several times, of which the most recent one is ERC No. 0300583659 dated 18 May 2020. The Enterprise Registration Certificate and its updates were issued by the Ho Chi Minh City Department of Planning and Investment."
Board of Directors,Board of Directors,Board of Directors,Mr. Koh Poh Tiong,Chairman,,
Board of Directors,Board of Directors,Board of Directors,Mr. Pramoad Phornprapha,Member,,
Board of Directors,Board of Directors,Board of Directors,Mr. Nguyen Tien Vy,Member,,
Board of Directors,Board of Directors,Board of Directors,Mr. Michael Chye Hin Fah,Member,,
Board of Directors,Board of Directors,Board of Directors,Ms. Tran Kim Nga,Member,,
Board of Directors,Board of Directors,Board of Directors,Mr. Le Thanh Tuan,Member (from 28 April 2021),,
Board of Directors,Board of Directors,Board of Directors,Ms. Ngo Minh Chau,Member (from 28 April 2021),,
Board of Directors,Board of Directors,Board of Directors,Mr. Nguyen Tien Dung,Member (until 27 April 2021),,
Board of Directors,Board of Directors,Board of Directors,Mr. Luong Thanh Hai,Member (until 27 April 2021),,
Board of Management,Board of Management,Board of Management,Mr. Neo Gim Siong Bennett,General Director,,
Board of Management,Board of Management,Board of Management,Mr. Koo Liang Kwee,Deputy General Director (from 1 October 2021),,
Board of Management,Board of Management,Board of Management,Ms. Venus Teoh Kim Wei,Deputy General Director (from 1 April 2021),,
Board of Management,Board of Management,Board of Management,Mr. Teo Hong Keng,Deputy General Director (until 30 September 2021),,
Board of Management,Board of Management,Board of Management,Mr. Ng Kuan Ngee Melvyn,Deputy General Director,,
Board of Management,Board of Management,Board of Management,Mr. Lam Du An,Deputy General Director Saigon - Nguyen Chi Thanh Brewery's Director,,
Board of Management,Board of Management,Board of Management,Mr. Hoang Dao Hiep,Deputy General Director (until 28 February 2021),,
Audit Committee,Audit Committee,Audit Committee,Mr. Pramoad Phornprapha,Chairman,,
Audit Committee,Audit Committee,Audit Committee,Mr. Nguyen Tien Vy,Member,,
Audit Committee,Audit Committee,Audit Committee,Mr. Michael Chye Hin Fah,Member,,
Legal Representative,Legal Representative,Legal Representative,Mr. Koh Poh Tiong,Chairman,,
Legal Representative,Legal Representative,Legal Representative,Mr. Neo Gim Siong Bennett,General Director,,
Registered Office,Registered Office,Registered Office,"No. 187, Nguyen Chi Thanh StreetWard 12, District 5Ho Chi Minh CityVietnam","No. 187, Nguyen Chi Thanh StreetWard 12, District 5Ho Chi Minh CityVietnam",,
Auditor,Auditor,Auditor,KPMG LimitedVietnam,KPMG LimitedVietnam,,
