row_label_raw,row_label_full,CHỈ TIỀU,Mã số,Thuyết minh,31/12/2023,01/01/2023,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023,numeric__01/01/2023
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,1.860.333.161.277,2.179.412.706.458,100.0,,1860333161277.0,2179412706458.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,50.142.629.742,195.704.895.683,110.0,5.0,50142629742.0,195704895683.0
1. Tiền,1. Tiền,1. Tiền,111,,50.142.629.742,95.704.895.683,111.0,,50142629742.0,95704895683.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,-,100.000.000.000,112.0,,,100000000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,20.000.000.000,-,120.0,,20000000000.0,
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,6,20.000.000.000,-,123.0,6.0,20000000000.0,
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.552.744.070.102,1.514.213.211.715,130.0,,1552744070102.0,1514213211715.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,242.599.494.181,510.928.597.546,131.0,7.0,242599494181.0,510928597546.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,301.336.210.931,270.638.089.033,132.0,8.0,301336210931.0,270638089033.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,1.008.808.364.990,732.646.525.136,136.0,9.0,1008808364990.0,732646525136.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,,210.627.541.427,461.459.031.677,140.0,,210627541427.0,461459031677.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,10,210.627.541.427,461.459.031.677,141.0,10.0,210627541427.0,461459031677.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,26.818.920.006,8.035.567.383,150.0,,26818920006.0,8035567383.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,11,1.554.472.931,8.034.126.343,151.0,11.0,1554472931.0,8034126343.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,25.264.447.075,1.441.040,152.0,,25264447075.0,1441040.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,4.530.401.248.430,4.865.232.072.185,200.0,,4530401248430.0,4865232072185.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,4.288.313.723.310,4.648.940.492.003,210.0,,4288313723310.0,4648940492003.0
1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,1. Phải thu về cho vay dài hạn,215,12,490.000.000.000,490.000.000.000,215.0,12.0,490000000000.0,490000000000.0
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,9,3.798.313.723.310,4.158.940.492.003,216.0,9.0,3798313723310.0,4158940492003.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,648.970.737,818.155.625,220.0,,648970737.0,818155625.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,447.455.585,818.155.625,221.0,13.0,447455585.0,818155625.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,4.098.015.063,4.098.015.063,222.0,,4098015063.0,4098015063.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,223,,(3.650.559.478),(3.279.859.438),223.0,,-3650559478.0,-3279859438.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,14,201.515.152,-,227.0,14.0,201515152.0,
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,575.365.500,301.765.500,228.0,,575365500.0,301765500.0
- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,- Giá trị hao mòn luỹ kế,229,,(373.850.348),(301.765.500),229.0,,-373850348.0,-301765500.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,212.821.780.144,212.821.780.144,240.0,,212821780144.0,212821780144.0
"1. Chi phí sản xuất, kính doanh dở dang dài hạn","1. Chi phí sản xuất, kính doanh dở dang dài hạn","1. Chi phí sản xuất, kính doanh dở dang dài hạn",241,,821.780.144,821.780.144,241.0,,821780144.0,821780144.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,15,212.000.000.000,212.000.000.000,242.0,15.0,212000000000.0,212000000000.0
IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,IV. Tài sản dài hạn khác,260,,28.616.774.239,2.651.644.413,260.0,,28616774239.0,2651644413.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,11,28.616.774.239,2.651.644.413,261.0,11.0,28616774239.0,2651644413.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,6.390.734.409.707,7.044.644.778.643,270.0,,6390734409707.0,7044644778643.0
