row_label_raw,row_label_full,Stt > 1,Tên công ty > Công ty mẹ - Tập đoàn Công nghiệp Cao su Việt Nam,Báo cáo tài chính tham gia hợp nhất > Báo cáo tài chính riêng,Đơn vị kiểm toán > AASC,Ý kiến của Kiểm toán viên trên Báo cáo kiểm toán > Chấp nhận toàn phần,numeric__Tên công ty > Công ty mẹ - Tập đoàn Công nghiệp Cao su Việt Nam,numeric__Báo cáo tài chính tham gia hợp nhất > Báo cáo tài chính riêng,numeric__Đơn vị kiểm toán > AASC,numeric__Ý kiến của Kiểm toán viên trên Báo cáo kiểm toán > Chấp nhận toàn phần
2,2,2,Công ty TNHH MTV Tổng Công ty Cao su Đồng Nai,Báo cáo tài chính riêng,AASC,Chấp nhận toàn phần,,,,
3,3,3,Công ty TNHH MTV Cao su Bình Long,Báo cáo tài chính,AVA,Chấp nhận toàn phần,,,,
4,4,4,Công ty TNHH MTV Cao su Dầu Tiếng,Báo cáo tài chính riêng,AVA,Chấp nhận toàn phần,,,,
5,5,5,Công ty TNHH MTV Cao su Lộc Ninh,Báo cáo tài chính,AVA,Chấp nhận toàn phần,,,,
6,6,6,Công ty TNHH MTV Cao su Phú Riếng,Báo cáo tài chính,AASC,Ngoại trừ,,,,
7,7,7,Công ty TNHH MTV Cao su Krông Bùk,Báo cáo tài chính riêng,AASC,Chấp nhận toàn phần,,,,
8,8,8,Công ty TNHH MTV Cao su Ea H'Leo,Báo cáo tài chính riêng,AFC,Chấp nhận toàn phần,,,,
9,9,9,Công ty TNHH MTV Cao su Chư Prông,Báo cáo tài chính,AASC,Chấp nhận toàn phần,,,,
10,10,10,Công ty TNHH MTV Cao su Chư Sê,Báo cáo tài chính riêng,AASC,Chấp nhận toàn phần,,,,
11,11,11,Công ty TNHH MTV Cao su Kon Tum,Báo cáo tài chính riêng,AVINA-IAFC,Chấp nhận toàn phần,,,,
12,12,12,Công ty TNHH MTV Cao su Mang Yang,Báo cáo tài chính,AVA,Chấp nhận toàn phần,,,,
13,13,13,Công ty TNHH MTV Cao su Chư Pãh,Báo cáo tài chính riêng,AVINA-IAFC,Chấp nhận toàn phần,,,,
14,14,14,Công ty TNHH MTV Cao su Quảng Nam,Báo cáo tài chính,AAC,Ngoại trừ,,,,
15,15,15,Công ty TNHH MTV Cao su Nam Giang - Quảng Nam,Báo cáo tài chính,AAC,Chấp nhận toàn phần,,,,
16,16,16,Công ty TNHH MTV Cao su Hà Tĩnh,Báo cáo tài chính riêng,AVA,Ngoại trừ,,,,
17,17,17,Công ty TNHH MTV Cao su Hương Khê -Hà Tĩnh,Báo cáo tài chính,AASC,Chấp nhận toàn phần,,,,
18,18,18,Công ty TNHH MTV Cao su Thanh Hóa,Báo cáo tài chính,AVA,Ngoại trừ,,,,
19,19,19,Công ty TNHH MTV Cao su Quảng Trị,Báo cáo tài chính,AVINA-IAFC,Chấp nhận toàn phần,,,,
20,20,20,Công ty TNHH MTV Cao su Bình Thuận,Báo cáo tài chính,AVA,Chấp nhận toàn phần,,,,
21,21,21,Công ty TNHH MTV Cao su Quảng Ngãi,Báo cáo tài chính,AAC,Chấp nhận toàn phần,,,,
22,22,22,Viện Nghiên cứu Cao su,Báo cáo tài chính,AASC,Ngoại trừ,,,,
23,23,23,Trung tâm Y tế Cao su,Báo cáo tài chính,,,,,,
24,24,24,Tạp chí Cao su,Báo cáo tài chính,Thăng Long TDK,Ngoại trừ,,,,
25,25,25,Trường Cao đẳng Công nghiệp Cao su,Báo cáo tài chính,,,,,,
26,26,26,Công ty Cổ phần Cao su Bà Rịa,Báo cáo tài chính,AASC,Chấp nhận toàn phần,,,,
27,27,27,Công ty Cổ phần Cao su Tân Biên,Báo cáo tài chính riêng,AASC,Chấp nhận toàn phần,,,,
