row_label_raw,row_label_full,col_0,EURđược quyđổi,USDđược quyđổi,Các ngoạihối khácđược quyđổi,Tổng,numeric__EURđược quyđổi,numeric__USDđược quyđổi,numeric__Các ngoạihối khácđược quyđổi,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
"I. Tiền mặt, vàng bạc, đá quý","TÀI SẢN > I. Tiền mặt, vàng bạc, đá quý","I. Tiền mặt, vàng bạc, đá quý",10.461,41.369,-,51.830,10461.0,41369.0,,51830.0
II. Tiền gửi tại NHNN,TÀI SẢN > II. Tiền gửi tại NHNN,II. Tiền gửi tại NHNN,-,41.960,-,41.960,,41960.0,,41960.0
III. Tiền gửi và cho vay các TCTD khác (*),TÀI SẢN > III. Tiền gửi và cho vay các TCTD khác (*),III. Tiền gửi và cho vay các TCTD khác (*),5.302,1.103.287,402.805,1.511.394,5302.0,1103287.0,402805.0,1511394.0
VI. Cho vay khách hàng (*),TÀI SẢN > VI. Cho vay khách hàng (*),VI. Cho vay khách hàng (*),-,91.145,-,91.145,,91145.0,,91145.0
XI. Tài sản có khác (*),TÀI SẢN > XI. Tài sản có khác (*),XI. Tài sản có khác (*),-,1.367,1.019,2.386,,1367.0,1019.0,2386.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,15.763,1.279.128,403.824,1.698.715,15763.0,1279128.0,403824.0,1698715.0
NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,
II. Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > II. Tiền gửi và vay các TCTD khác,II. Tiền gửi và vay các TCTD khác,-,401.154,-,401.154,,401154.0,,401154.0
III. Tiền gửi của khách hàng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > III. Tiền gửi của khách hàng,III. Tiền gửi của khách hàng,8.883,142.098,13,150.994,8883.0,142098.0,13.0,150994.0
IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,IV. Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,4.406.205,-,4.406.205,,4406205.0,,4406205.0
VII. Các khoản nợ khác,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > VII. Các khoản nợ khác,VII. Các khoản nợ khác,8,1.515,-,1.523,8.0,1515.0,,1523.0
Tổng nợ phải trả và vốn chủ sở hữu,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,8.891,4.950.972,13,4.959.876,8891.0,4950972.0,13.0,4959876.0
Trạng thái tiền tệ nội bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,6.872,(3.671.844),403.811,(3.261.161),6872.0,-3671844.0,403811.0,-3261161.0
Trạng thái tiền tệ ngoại bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,1.530.750,-,1.530.750,,1530750.0,,1530750.0
Trạng thái tiền tệ nội ngoại bảng,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU > Trạng thái tiền tệ nội ngoại bảng,Trạng thái tiền tệ nội ngoại bảng,6.872,(2.141.094),403.811,(1.730.411),6872.0,-2141094.0,403811.0,-1730411.0
