row_label_raw,row_label_full,Công ty Cổ phần Nam Long VCD,Tỉnh Long An,Xây dựng vàbất động sản,"99,91",numeric__Tỉnh Long An,numeric__Xây dựng vàbất động sản,"numeric__99,91"
"Công ty Cổ phần Bất Đông SảnNguyên Sơn (""Nguyên Sơn"")","Công ty Cổ phần Bất Đông SảnNguyên Sơn (""Nguyên Sơn"")","Công ty Cổ phần Bất Đông SảnNguyên Sơn (""Nguyên Sơn"")","Tp. Hồ Chí Minh(""TPHCM"")",Bất động sản,"87,33",,,87.33
Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,Công ty Cổ phần Đầu tư Nam Phan,TPHCM,Xây dựng vàbất động sản,100,,,100.0
Công ty TNHH Paragon Đại Phước,Công ty TNHH Paragon Đại Phước,Công ty TNHH Paragon Đại Phước,TPHCM,Bất động sản,100,,,100.0
Công ty Cổ phần Phát triển Căn hộNam Long,Công ty Cổ phần Phát triển Căn hộNam Long,Công ty Cổ phần Phát triển Căn hộNam Long,TPHCM,Xây dựng vàbất động sản,"99,87",,,99.87
Công ty Cổ phần Nam Long - Hồng Phát,Công ty Cổ phần Nam Long - Hồng Phát,Công ty Cổ phần Nam Long - Hồng Phát,Tp. Cần Thơ,Xây dựng vàbất động sản,"99,98",,,99.98
Công ty TNHH NLG – NNR – HR Fuji (*),Công ty TNHH NLG – NNR – HR Fuji (*),Công ty TNHH NLG – NNR – HR Fuji (*),TPHCM,Xây dựng vàbất động sản,"50,00",,,50.0
Công ty TNHH NNH Kikyo Flora (*),Công ty TNHH NNH Kikyo Flora (*),Công ty TNHH NNH Kikyo Flora (*),TPHCM,Bất động sản,"50,00",,,50.0
Công ty TNHH NNH Kikyo Valora (*),Công ty TNHH NNH Kikyo Valora (*),Công ty TNHH NNH Kikyo Valora (*),TPHCM,Bất động sản,"50,00",,,50.0
Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc,Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc,Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc,TPHCM,,,,,
Công ty TNHH Một Thành Viên Đầu tưXây dựng Phát triển Nam Khang,Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc > Công ty TNHH Một Thành Viên Đầu tưXây dựng Phát triển Nam Khang,Công ty TNHH Một Thành Viên Đầu tưXây dựng Phát triển Nam Khang,TPHCM,Bất động sản,100,,,100.0
Công ty Cổ phần Tư vấn Thiết kế vàXây dựng Nam Viên,Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc > Công ty Cổ phần Tư vấn Thiết kế vàXây dựng Nam Viên,Công ty Cổ phần Tư vấn Thiết kế vàXây dựng Nam Viên,TPHCM,Xây dựng vàbất động sản,100,,,100.0
Công ty TNHH Kinh doanh Vật liệuXây dựng Nam Khang,Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc > Công ty TNHH Kinh doanh Vật liệuXây dựng Nam Khang,Công ty TNHH Kinh doanh Vật liệuXây dựng Nam Khang,TPHCM,Dịch vụ,"81,25",,,81.25
Công ty TNHH Kinh doanh Vật liệuXây dựng Nam Khang,Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc > Công ty TNHH Kinh doanh Vật liệuXây dựng Nam Khang,Công ty TNHH Kinh doanh Vật liệuXây dựng Nam Khang,TPHCM,Kinh doanhthương mạivật liệu xây dựng,100,,,100.0
"Công ty Cổ phần 6D (""6D"")","Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc > Công ty Cổ phần 6D (""6D"")","Công ty Cổ phần 6D (""6D"")",TPHCM,Xây dựng vàbất động sản,"76,03",,,76.03
Công ty TNHH Một Thành ViênSản giao dịch Bất Đông Sản Nam Long,Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc > Công ty TNHH Một Thành ViênSản giao dịch Bất Đông Sản Nam Long,Công ty TNHH Một Thành ViênSản giao dịch Bất Đông Sản Nam Long,TPHCM,Sản giao dịchbất động sản,100,,,100.0
Công ty TNHH MTV Dịch vụ Nam Long,Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc > Công ty TNHH MTV Dịch vụ Nam Long,Công ty TNHH MTV Dịch vụ Nam Long,TPHCM,Dịch vụ và xây lắp,100,,,100.0
Công ty TNHH Dịch vụ Vận tải Nam Long,Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc > Công ty TNHH Dịch vụ Vận tải Nam Long,Công ty TNHH Dịch vụ Vận tải Nam Long,TPHCM,Dịch vụ vận tải,100,,,100.0
Công ty TNHH MTV Quản lý và Khai thácBất Đông Sản Nam Long,Công ty TNHH Đầu tư và Kinh DoanhBất Đông Sản Nguyên Phúc > Công ty TNHH MTV Quản lý và Khai thácBất Đông Sản Nam Long,Công ty TNHH MTV Quản lý và Khai thácBất Đông Sản Nam Long,TPHCM,Xây dựng vàbất động sản,100,,,100.0
