row_label_raw,row_label_full,STT,Công ty con cấp 3,Hoạt động chính,Tỷ lệ lợi ích trực tiếp của công ty con cấp 2,Tỷ lệ lợi ích trực tiếp của công ty con cấp 2_1,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn_1,numeric__Công ty con cấp 3,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 2,numeric__Tỷ lệ lợi ích trực tiếp của công ty con cấp 2_1,numeric__Tỷ lệ lợi ích của Tập đoàn,numeric__Tỷ lệ lợi ích của Tập đoàn_1
STT,STT,STT,Công ty con cấp 3,Hoạt động chính,31/12/2021,1/1/2021,31/12/2021,1/1/2021,,,,,,
,,,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,Công ty con của Công ty TNHH Thép Hòa Phát Hưng Yên,,,,,,
12,STT > 12,12,Công ty TNHH MTV Hòa Phát Bình Định,"Sản xuất sắt, thép, gang; bán buôn kim loại và quảng kim loại.",100%,100%,"99,998%",100%,,,1.0,1.0,0.9999800000000001,1.0
13,STT > 13,13,Công ty TNHH Thương mại Dịch vụ Nhơn Trạch,Kho bãi và lưu giữ hàng hóa; bốc xếp hàng hóa.,"99,97%","99,97%","99,968%","99,97%",,,0.9997,0.9997,0.99968,0.9997
,,,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,Công ty con của Công ty TNHH Ông thép Hòa Phát,,,,,,
14,STT > 14,14,Công ty TNHH Thép Cán người Hòa Phát,Sản xuất sản phẩm thép cán người.,100%,100%,"99,960%","99,967%",,,1.0,1.0,0.9995999999999999,0.99967
15,STT > 15,15,Công ty TNHH MTV Ông thép Hòa Phát Bình Dương,Sản xuất và kinh doanh thương mại ống thép.,100%,100%,"99,960%","99,967%",,,1.0,1.0,0.9995999999999999,0.99967
16,STT > 16,16,Công ty TNHH Ông thép Hòa Phát Đà Nẵng,Sản xuất và kinh doanh thương mại ống thép.,"99,978%","99,98%","99,938%","99,944%",,,0.9997799999999999,0.9998,0.99938,0.99944
17,STT > 17,17,Công ty TNHH MTV Ông thép Hòa Phát Long An,Sản xuất và kinh doanh thương mại ống thép.,100%,100%,"99,960%","99,967%",,,1.0,1.0,0.9995999999999999,0.99967
18,STT > 18,18,Công ty Cổ phần Sản phẩm thép Hòa Phát Long An (iv),Sản xuất và kinh doanh thương mại ống thép.,"99,99%",0%,"99,95%",0%,,,0.9998999999999999,0.0,0.9995,0.0
,,,Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát,Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát,Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát,Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát,Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát,Công ty con của Công ty TNHH Chế tạo Kim loại Hòa Phát,,,,,,
19,STT > 19,19,Công ty TNHH Thép dây Hòa Phát,"Sản xuất, kinh doanh các loại máy xây dựng và khai thác mỏ; sản xuất động cơ, tua bin.",100%,100%,"99,915%","99,875%",,,1.0,1.0,0.9991500000000001,0.99875
20,STT > 20,20,Công ty TNHH Chế tạo Cơ khí Hòa Phát,"Sửa chữa và sản xuất các sản phẩm cơ khí; dịch vụ cho thuê máy móc, thiết bị, phương tiện.","99,954%","99,95%","99,869%","99,83%",,,0.99954,0.9995,0.99869,0.9983
21,STT > 21,21,Công ty TNHH MTV Thép dự ứng lực Hòa Phát,"Sản xuất sắt, thép, gang.",100%,100%,"99,915%","99,875%",,,1.0,1.0,0.9991500000000001,0.99875
22,STT > 22,22,Công ty TNHH Phụ kiện Cơ khí Hòa Phát (iv),Sản xuất phụ kiện cơ khí,100%,0%,"99,915%",0%,,,1.0,0.0,0.9991500000000001,0.0
