row_label_raw,row_label_full,col_0,31.12.2019Triệu VND,31.12.2018Triệu VND,numeric__31.12.2019Triệu VND,numeric__31.12.2018Triệu VND
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,1.058.690,1.247.862,1058690.0,1247862.0
Các khoản phải trả cho bên ngoài,Các khoản phải trả cho bên ngoài,Các khoản phải trả cho bên ngoài,,,,
- Chuyển tiền phải trả,Các khoản phải trả cho bên ngoài > - Chuyển tiền phải trả,- Chuyển tiền phải trả,281.552,378.334,281552.0,378334.0
- Các khoản phải nộp Ngân sách Nhà nước (Thuyết minh 37),Các khoản phải trả cho bên ngoài > - Các khoản phải nộp Ngân sách Nhà nước (Thuyết minh 37),- Các khoản phải nộp Ngân sách Nhà nước (Thuyết minh 37),72.783,201.972,72783.0,201972.0
- Tiền giữ hộ và đợi thanh toán,Các khoản phải trả cho bên ngoài > - Tiền giữ hộ và đợi thanh toán,- Tiền giữ hộ và đợi thanh toán,115.257,121.428,115257.0,121428.0
- Các khoản chờ thanh toán,Các khoản phải trả cho bên ngoài > - Các khoản chờ thanh toán,- Các khoản chờ thanh toán,162.890,39.919,162890.0,39919.0
- Phải trả khác,Các khoản phải trả cho bên ngoài > - Phải trả khác,- Phải trả khác,24.840,29.831,24840.0,29831.0
Thu nhập chưa thực hiện,Các khoản phải trả cho bên ngoài > Thu nhập chưa thực hiện,Thu nhập chưa thực hiện,1.222,1.155,1222.0,1155.0
"Quỹ khen thưởng, phúc lợi","Các khoản phải trả cho bên ngoài > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",204.130,105.456,204130.0,105456.0
Quỹ phát triển khoa học và công nghệ (i),Các khoản phải trả cho bên ngoài > Quỹ phát triển khoa học và công nghệ (i),Quỹ phát triển khoa học và công nghệ (i),1.100.000,500.000,1100000.0,500000.0
,,,3.021.364,2.625.957,3021364.0,2625957.0
