row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệ biểu quyết,Số cuối năm > Số cổ phiếu,Số cuối năm > Giá trị ghi số (VND),Số đầu năm > Tỷ lệ biểu quyết,Số đầu năm > Số cổ phiếu,Số đầu năm > Giá trị ghi số (VND),numeric__Số cuối năm > Tỷ lệ biểu quyết,numeric__Số cuối năm > Số cổ phiếu,numeric__Số cuối năm > Giá trị ghi số (VND),numeric__Số đầu năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Số cổ phiếu,numeric__Số đầu năm > Giá trị ghi số (VND)
Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,Công ty TNHH Một thành viên Phát triển Đô thị Tràng Cát,100%,-,7.052.791.000.000,100%,-,6.630.000.000.000,1.0,,7052791000000.0,1.0,,6630000000000.0
Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên,95%,153.000.000,1.530.000.000.000,95%,153.000.000,1.530.000.000.000,0.95,153000000.0,1530000000000.0,0.95,153000000.0,1530000000000.0
Công ty Cổ phần Đầu tư Phát triển Long An,Công ty Cổ phần Đầu tư Phát triển Long An,Công ty Cổ phần Đầu tư Phát triển Long An,60%,54.000.000,540.000.000.000,60%,54.000.000,540.000.000.000,0.6,54000000.0,540000000000.0,0.6,54000000.0,540000000000.0
Công ty Cổ phần Phát triển Đô thị Sài Gòn - Tây Bắc,Công ty Cổ phần Phát triển Đô thị Sài Gòn - Tây Bắc,Công ty Cổ phần Phát triển Đô thị Sài Gòn - Tây Bắc,"74,3%",45.389.361,662.066.314.000,"74,3%",45.389.361,662.066.314.000,0.743,45389361.0,662066314000.0,0.743,45389361.0,662066314000.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (i),Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (i),Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng (i),"89,26%",15.840.000,1.656.000.000.000,"86,54%",3.600.000,468.000.000.000,0.8926000000000001,15840000.0,1656000000000.0,0.8654000000000001,3600000.0,468000000000.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang,"92,5%",1.309.000,119.000.000.000,"92,5%",1.309.000,119.000.000.000,0.925,1309000.0,119000000000.0,0.925,1309000.0,119000000000.0
Công ty TNHH MTV Đầu tư NGD,Công ty TNHH MTV Đầu tư NGD,Công ty TNHH MTV Đầu tư NGD,100%,-,105.200.000.000,100%,-,105.200.000.000,1.0,,105200000000.0,1.0,,105200000000.0
Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc,Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc,Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc,100%,-,5.440.000.000,100%,-,5.440.000.000,1.0,,5440000000.0,1.0,,5440000000.0
Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng (ii),Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng (ii),Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng (ii),-,-,-,100%,-,720.000.000.000,,,,1.0,,720000000000.0
Công ty Cổ phần Phát triển Đô thị Tiên Dương,Công ty Cổ phần Phát triển Đô thị Tiên Dương,Công ty Cổ phần Phát triển Đô thị Tiên Dương,51%,25.500.000,7.411.980.000,51%,25.500.000,7.411.980.000,0.51,25500000.0,7411980000.0,0.51,25500000.0,7411980000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,11.677.909.294.000,,,10.787.118.294.000,,,11677909294000.0,,,10787118294000.0
Dự phòng giảm giá đầu tư vào công ty con,Dự phòng giảm giá đầu tư vào công ty con,Dự phòng giảm giá đầu tư vào công ty con,,,-,,,-,,,,,,
GIÁ TRỊ THUÀN,Dự phòng giảm giá đầu tư vào công ty con > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,,11.677.909.294.000,,,10.787.118.294.000,,,11677909294000.0,,,10787118294000.0
