row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệ sở hữu (%),Số cuối năm > Số lượng cổ phiếu,Số cuối năm > Giá trị ghi số (*),Số đầu năm > Tỷ lệ sở hữu (%),Số đầu năm > Số lượng cổ phiếu,Số đầu năm > Giá trị ghi số,numeric__Số cuối năm > Tỷ lệ sở hữu (%),numeric__Số cuối năm > Số lượng cổ phiếu,numeric__Số cuối năm > Giá trị ghi số (*),numeric__Số đầu năm > Tỷ lệ sở hữu (%),numeric__Số đầu năm > Số lượng cổ phiếu,numeric__Số đầu năm > Giá trị ghi số
Công ty Cổ phần Khoáng sản Sài Gòn - Quy Nhơn,Công ty Cổ phần Khoáng sản Sài Gòn - Quy Nhơn,Công ty Cổ phần Khoáng sản Sài Gòn - Quy Nhơn,"5,75",6.900.000,339.000.000.000,"5,75",6.900.000,339.000.000.000,5.75,6900000.0,339000000000.0,5.75,6900000.0,339000000000.0
Công ty Cổ phần Truyền thông VTC - Saigontel,Công ty Cổ phần Truyền thông VTC - Saigontel,Công ty Cổ phần Truyền thông VTC - Saigontel,"19,19",3.070.020,30.700.200.000,"19,19",3.070.020,30.700.200.000,19.19,3070020.0,30700200000.0,19.19,3070020.0,30700200000.0
Công ty Cổ phần Đầu tư Sài gòn,Công ty Cổ phần Đầu tư Sài gòn,Công ty Cổ phần Đầu tư Sài gòn,"0,67",1.000.000,25.000.000.000,-,-,-,0.67,1000000.0,25000000000.0,,,
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bình Phước,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bình Phước,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bình Phước,"10,56",190.000,19.000.000.000,"10,56",190.000,19.000.000.000,10.56,190000.0,19000000000.0,10.56,190000.0,19000000000.0
Công ty Cổ phần Du lịch Sài Gòn - Hàm Tân,Công ty Cổ phần Du lịch Sài Gòn - Hàm Tân,Công ty Cổ phần Du lịch Sài Gòn - Hàm Tân,"1,63",70.000,7.000.000.000,"1,63",70.000,7.000.000.000,1.63,70000.0,7000000000.0,1.63,70000.0,7000000000.0
Công ty Cổ phần Đầu tư Phát triển Nhà máy Điện Sài Gòn - Bình Thuận,Công ty Cổ phần Đầu tư Phát triển Nhà máy Điện Sài Gòn - Bình Thuận,Công ty Cổ phần Đầu tư Phát triển Nhà máy Điện Sài Gòn - Bình Thuận,"0,35",350.000,3.500.000.000,"0,35",350.000,3.500.000.000,0.35,350000.0,3500000000.0,0.35,350000.0,3500000000.0
Công ty Cổ phần Khu Công nghiệp Sài Gòn - Long An,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Long An,Công ty Cổ phần Khu Công nghiệp Sài Gòn - Long An,"0,15",30.000,300.000.000,"0,15",30.000,300.000.000,0.15,30000.0,300000000.0,0.15,30000.0,300000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,424.500.200.000,,,399.500.200.000,,,424500200000.0,,,399500200000.0
Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,,,(26.018.164.785),,,(26.018.164.785),,,-26018164785.0,,,-26018164785.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,,398.482.035.215,,,373.482.035.215,,,398482035215.0,,,373482035215.0
