row_label_raw,row_label_full,col_0,Năm nay,Từ ngày 15/01/2015đến ngày 31/12/2015,numeric__Năm nay,numeric__Từ ngày 15/01/2015đến ngày 31/12/2015
,,,VND,VND,,
Bán hàng,Bán hàng,Bán hàng,Bán hàng,Bán hàng,,
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Bán hàng > Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,1.860.000.000,69.420.000.000,1860000000.0,69420000000.0
,,,1.860.000.000,69.420.000.000,1860000000.0,69420000000.0
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",,
Tập đoàn Dầu khí Việt Nam,"Mua hàng hóa, dịch vụ > Tập đoàn Dầu khí Việt Nam",Tập đoàn Dầu khí Việt Nam,832.882.827.148,1.481.062.504.249,832882827148.0,1481062504249.0
Tổng Công ty Điện lực Dầu khí Việt Nam,"Mua hàng hóa, dịch vụ > Tổng Công ty Điện lực Dầu khí Việt Nam",Tổng Công ty Điện lực Dầu khí Việt Nam,157.120.921.245,199.148.803.439,157120921245.0,199148803439.0
Công ty Cổ phần Bao bì Dầu khí Việt Nam,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Bao bì Dầu khí Việt Nam",Công ty Cổ phần Bao bì Dầu khí Việt Nam,133.069.407.060,133.116.824.210,133069407060.0,133116824210.0
Tổng Công ty Bảo hiểm PVI - Chi nhánh Cà Mau,"Mua hàng hóa, dịch vụ > Tổng Công ty Bảo hiểm PVI - Chi nhánh Cà Mau",Tổng Công ty Bảo hiểm PVI - Chi nhánh Cà Mau,1.791.493.760,4.912.793.640,1791493760.0,4912793640.0
Công ty Cổ phần Phát triển Đỗ thị Dầu khí,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Phát triển Đỗ thị Dầu khí",Công ty Cổ phần Phát triển Đỗ thị Dầu khí,-,1.639.450.725,,1639450725.0
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam",Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,13.018.149.462,11.579.812.533,13018149462.0,11579812533.0
Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Vận tải Dầu khí Vũng Tàu",Công ty Cổ phần Vận tải Dầu khí Vũng Tàu,11.305.896.000,5.033.160.000,11305896000.0,5033160000.0
Chi nhánh Viện Dầu khí Việt Nam - Trung tâm Nghiên cứu và Phát triển Chế biển Dầu khí,"Mua hàng hóa, dịch vụ > Chi nhánh Viện Dầu khí Việt Nam - Trung tâm Nghiên cứu và Phát triển Chế biển Dầu khí",Chi nhánh Viện Dầu khí Việt Nam - Trung tâm Nghiên cứu và Phát triển Chế biển Dầu khí,9.661.405.451,6.980.252.083,9661405451.0,6980252083.0
Công ty Bảo hiểm PVI Phía Nam,"Mua hàng hóa, dịch vụ > Công ty Bảo hiểm PVI Phía Nam",Công ty Bảo hiểm PVI Phía Nam,51.055.989.330,48.610.713.297,51055989330.0,48610713297.0
Chi nhánh Viện Dầu khí Việt Nam - Trung tâm Ứng dụng và Chuyển giao Công nghệ,"Mua hàng hóa, dịch vụ > Chi nhánh Viện Dầu khí Việt Nam - Trung tâm Ứng dụng và Chuyển giao Công nghệ",Chi nhánh Viện Dầu khí Việt Nam - Trung tâm Ứng dụng và Chuyển giao Công nghệ,-,2.003.660.000,,2003660000.0
Công ty Cổ phần Bảo dưỡng và Sửa chữa Công Trình Dầu khí,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Bảo dưỡng và Sửa chữa Công Trình Dầu khí",Công ty Cổ phần Bảo dưỡng và Sửa chữa Công Trình Dầu khí,842.003.431,4.936.621.961,842003431.0,4936621961.0
Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí - Công ty Cổ phần,"Mua hàng hóa, dịch vụ > Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí - Công ty Cổ phần",Tổng Công ty Dung dịch Khoan và Hóa phẩm Dầu khí - Công ty Cổ phần,680.143.340,4.501.704.308,680143340.0,4501704308.0
Công ty Cổ phần Thương mại và Dịch vụ Kỹ thuật khoan Dầu khí,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Thương mại và Dịch vụ Kỹ thuật khoan Dầu khí",Công ty Cổ phần Thương mại và Dịch vụ Kỹ thuật khoan Dầu khí,-,3.707.156.898,,3707156898.0
Công ty TNHH MTV lọc hóa đãu Bình Sơn,"Mua hàng hóa, dịch vụ > Công ty TNHH MTV lọc hóa đãu Bình Sơn",Công ty TNHH MTV lọc hóa đãu Bình Sơn,,300.937.990,,300937990.0
Công ty Cổ phần Dầu tư Hạ tầng và Đô thị Dầu khí,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Dầu tư Hạ tầng và Đô thị Dầu khí",Công ty Cổ phần Dầu tư Hạ tầng và Đô thị Dầu khí,-,32.138.100.000,,32138100000.0
Công ty Cổ phần Dịch vụ Khai thác Dầu khí,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Dịch vụ Khai thác Dầu khí",Công ty Cổ phần Dịch vụ Khai thác Dầu khí,,2.182.168.201,,2182168201.0
Tổng Công ty Công nghệ Năng lượng Dầu Khí Việt Nam - Công ty Cổ phần,"Mua hàng hóa, dịch vụ > Tổng Công ty Công nghệ Năng lượng Dầu Khí Việt Nam - Công ty Cổ phần",Tổng Công ty Công nghệ Năng lượng Dầu Khí Việt Nam - Công ty Cổ phần,-,5.476.652.067,,5476652067.0
Công ty TNHH Bảo hiểm Nhân thọ PVI Sunlife,"Mua hàng hóa, dịch vụ > Công ty TNHH Bảo hiểm Nhân thọ PVI Sunlife",Công ty TNHH Bảo hiểm Nhân thọ PVI Sunlife,30.151.542.679,12.374.500.000,30151542679.0,12374500000.0
Công ty Cổ phần Máy - Thiết bị Dầu khí,"Mua hàng hóa, dịch vụ > Công ty Cổ phần Máy - Thiết bị Dầu khí",Công ty Cổ phần Máy - Thiết bị Dầu khí,611.846.772,6.591.233.368,611846772.0,6591233368.0
Trường Cao Đằng Nghẽ Dầu Khí,"Mua hàng hóa, dịch vụ > Trường Cao Đằng Nghẽ Dầu Khí",Trường Cao Đằng Nghẽ Dầu Khí,2.438.319.987,2.440.137.149,2438319987.0,2440137149.0
